Player,Nation,Pos,Age,Born,90s,Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Performance PK,Performance PKatt,League,Year,Standard FK,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG
Q. Fernandes,Nganion,FW,30,1991,1.5,0.03,4.29,1.31,28.54,4.2,1.19,-0.08,-0.06,,0.07,0,Tournament,2020,,,,,,
R. Ssembatya,Nganion,FW,29,1992,1.53,0.09,-0.1,0.01,,0.06,0.03,,,,0.05,0.02,Tournament,2020,,,,,,
C. Neri,Nganion,FWMF,25,1996,0.26,0.02,-0.04,-0.01,,-0.04,0.03,,,,0.03,-0.07,Tournament,2020,,,,,,
K. Mukwaya,Nganion,FWMF,21,2000,5.79,1.03,2.93,1.15,41.15,2.97,1.25,0.3,0.84,,0.08,-0.02,Tournament,2020,,,,,,
W. Lew,Nganion,FWMF,25,1996,0.15,0.08,0.02,-0.03,,-0.07,-0.06,,,,-0.07,0.01,Tournament,2020,,,,,,
C. Musana,Nganion,GK,24,1997,3.9,-0.01,0.02,0,,0.06,0.04,,,,-0.08,0.04,Tournament,2020,,,,,,
G. Mwebaze,Nganion,GK,31,1990,3.94,-0.05,-0.07,-0.08,,0.05,-0.05,,,,-0.05,-0.05,Tournament,2020,,,,,,
A. Vang,Nganion,MF,25,1996,0.54,0.04,0.07,-0.04,,0.08,0.02,,,,0.03,0.01,Tournament,2020,,,,,,
C. Muhammadu,Nganion,MF,25,1996,2.48,0.1,1.75,0.85,49.95,1.63,0.83,-0.05,0.03,,0.02,0.08,Tournament,2020,,,,,,
E. Mwesigye,Nganion,MF,20,2001,0.29,-0.04,0.04,0.02,,-0.06,-0.01,,,,-0.05,0.02,Tournament,2020,,,,,,
I. Aidoo,Nganion,MF,30,1991,2.05,-0.04,1.07,0.02,0,0.97,0.05,0.08,,,-0.07,-0.06,Tournament,2020,,,,,,
I. Mponda,Nganion,MF,29,1992,2.29,-0.02,0.49,0.03,0.02,0.53,-0.02,0.05,,,-0.08,0.09,Tournament,2020,,,,,,
I. Roberts,Nganion,MF,17,2004,1.66,0.02,-0.08,0.07,,-0.08,0.08,,,,0.04,0.05,Tournament,2020,,,,,,
J. Pedro,Nganion,MF,23,1998,3.41,0.06,2.87,0.49,20,2.96,0.51,0.05,-0.02,,-0.06,0,Tournament,2020,,,,,,
O. Szilágyi,Nganion,MF,25,1996,4.04,-0.07,1.8,0.57,28.61,1.8,0.54,0.03,0.08,,-0.04,0.03,Tournament,2020,,,,,,
R. Adamu,Nganion,MF,30,1991,1.57,0,0.61,0.06,0.05,0.75,-0.06,0.04,,,-0.07,0.07,Tournament,2020,,,,,,
T. Kabonesa,Nganion,MF,23,1998,0.42,0.06,10.09,4.92,49.92,10.91,5.55,0.03,-0.03,,0.02,0.09,Tournament,2020,,,,,,
T. Nakirijja,Nganion,MF,25,1996,3.69,0.2,1.42,0.26,19.93,1.43,0.35,0.24,1.08,,0.07,-0.02,Tournament,2020,,,,,,
Z. Gholami,Nganion,MF,33,1988,4.31,0.09,0.28,0.22,99.99,0.21,0.21,0.06,-0.05,,0.03,0.06,Tournament,2020,,,,,,
B. Opoka,Ngoque Blicri,DF,30,1991,1.98,0.01,-0.08,0.03,,-0.04,0.05,,,,0.08,-0.02,Tournament,2020,,,,,,
C. Agbaria,Ngoque Blicri,DF,30,1991,2.84,0.03,0.98,-0.08,-0.06,1.13,-0.03,-0.05,,,0.04,-0.02,Tournament,2020,,,,,,
K. Ruíz,Ngoque Blicri,DF,31,1990,0,0.01,0.04,-0.04,,-0.09,0,,,,0.03,-0.01,Tournament,2020,,,,,,
L. Cao,Ngoque Blicri,DF,34,1987,2.8,-0.06,0.36,-0.07,0.1,0.37,0.1,-0.01,,,0.09,0,Tournament,2020,,,,,,
M. Tumuramye,Ngoque Blicri,DF,27,1994,3.94,-0.04,-0.03,0.02,,-0.04,-0.1,,,,0.06,-0.02,Tournament,2020,,,,,,
Z. Khan,Ngoque Blicri,DF,24,1996,3.14,0.02,0.55,0.08,0.06,0.6,-0.04,0.08,,,-0.05,-0.04,Tournament,2020,,,,,,
D. Mondlane,Ngoque Blicri,DFFW,27,1994,0.5,-0.09,1.94,0.1,0,2.06,-0.09,-0.09,,,-0.04,-0.07,Tournament,2020,,,,,,
M. Vaknin,Ngoque Blicri,DFMF,29,1992,2.84,0.01,1.52,0.33,24.99,1.42,0.36,-0.08,-0.07,,-0.02,-0.06,Tournament,2020,,,,,,
Q. Aini,Ngoque Blicri,DFMF,24,1997,3,-0.09,0.38,0,0.02,0.35,0.05,0.1,,,-0.09,-0.04,Tournament,2020,,,,,,
A. Lombardi,Ngoque Blicri,FW,29,1992,2.01,-0.07,1.93,0.43,25.04,2,0.44,-0.01,0.09,,-0.03,0.06,Tournament,2020,,,,,,
A. Namajja,Ngoque Blicri,FW,31,1990,0.59,-0.04,6.63,6.6,99.91,6.82,6.87,-0.05,0.05,,0.04,0.07,Tournament,2020,,,,,,
D. Masereka,Ngoque Blicri,FW,27,1994,1.78,0.68,2.31,0.5,25.01,2.41,0.6,0.23,1.1,,0.08,0.05,Tournament,2020,,,,,,
U. Lubwama,Ngoque Blicri,FW,26,1995,-0.05,0.04,0.04,0.01,,0.06,0.01,,,,-0.03,-0.05,Tournament,2020,,,,,,
X. Salihu,Ngoque Blicri,FW,26,1995,3.62,0.6,1.44,0.71,59.96,1.34,0.86,0.45,0.64,,0.05,-0.03,Tournament,2020,,,,,,
Y. Susanti,Ngoque Blicri,FW,25,1996,1.84,0.03,3.96,1.07,28.61,3.83,1.15,-0.06,-0.1,,0.03,0.07,Tournament,2020,,,,,,
H. Reiter,Ngoque Blicri,FWMF,26,1995,4.05,0.47,2.16,1.29,55.7,2.34,1.34,0,0.09,,0.46,0.53,Tournament,2020,,,,,,
R. Lambert,Ngoque Blicri,FWMF,24,1997,0.3,0.01,-0.05,0.08,,-0.06,-0.04,,,,0.02,-0.04,Tournament,2020,,,,,,
U. Nambalirwa,Ngoque Blicri,GK,38,1982,0.98,-0.09,-0.04,0.07,,-0.08,0.09,,,,-0.06,-0.05,Tournament,2020,,,,,,
Z. Abidin,Ngoque Blicri,GK,36,1985,5.05,0.05,-0.05,0.04,,-0.02,-0.06,,,,0.05,-0.01,Tournament,2020,,,,,,
A. Aryemo,Ngoque Blicri,MF,30,1991,1.66,0,-0.06,0.04,,-0.09,-0.04,,,,-0.03,-0.02,Tournament,2020,,,,,,
B. Chávez,Ngoque Blicri,MF,29,1992,3.36,0,1.21,0.24,24.93,1.16,0.22,0.06,-0.06,,0.01,-0.02,Tournament,2020,,,,,,
J. Brouwer,Ngoque Blicri,MF,28,1993,3.11,0.08,0.96,-0.07,-0.04,0.9,0,0.02,,,0,-0.02,Tournament,2020,,,,,,
T. Namuwaya,Ngoque Blicri,MF,24,1997,0.91,0.02,0.03,0.1,,0.09,-0.05,,,,-0.04,-0.08,Tournament,2020,,,,,,
Z. Singini,Ngoque Blicri,MF,30,1991,1,-0.04,1.07,0.09,-0.09,0.9,0.06,-0.01,,,0.03,0,Tournament,2020,,,,,,
E. Sitoe,Ngoque Blicri,MFDF,29,1992,2.91,0.04,0.23,-0.1,-0.01,0.28,0.03,0.07,,,-0.07,0.06,Tournament,2020,,,,,,
O. Law,Ngoque Blicri,MFDF,30,1991,2.01,0.06,1.06,0.08,-0.02,1.06,-0.07,0.01,,,0.06,-0.05,Tournament,2020,,,,,,
P. Bauri,Ngoque Blicri,MFDF,24,1996,4.91,0.09,0.34,0.04,0.06,0.45,0.05,0.05,,,0.02,-0.05,Tournament,2020,,,,,,
Z. Cher,Ngoque Blicri,MFFW,27,1994,4.63,-0.06,1.83,0.16,12.52,1.71,0.14,-0.03,0.08,,-0.02,-0.04,Tournament,2020,,,,,,
A. Milani,Nkasland Cronestan,DF,27,1994,4.85,0.08,0.02,-0.08,,-0.01,0.02,,,,0.1,0.07,Tournament,2020,,,,,,
D. Kos,Nkasland Cronestan,DF,21,2000,1.02,-0.01,0.08,0.09,,-0.01,0.02,,,,-0.08,0.1,Tournament,2020,,,,,,
D. Shahar,Nkasland Cronestan,DF,25,1996,5.01,0.04,0.04,-0.05,,0.08,-0.04,,,,0.08,-0.06,Tournament,2020,,,,,,
D. Shuaibu,Nkasland Cronestan,DF,29,1992,3.14,0.07,-0.07,0.05,,-0.06,-0.02,,,,-0.09,-0.09,Tournament,2020,,,,,,
E. Hämäläinen,Nkasland Cronestan,DF,32,1989,1.04,-0.02,1.01,0.01,0.02,0.95,0.04,-0.03,,,-0.09,-0.07,Tournament,2020,,,,,,
K. Kilama,Nkasland Cronestan,DF,20,2001,0.32,0.04,-0.09,-0.09,,-0.08,-0.03,,,,-0.06,0.07,Tournament,2020,,,,,,
K. Y?ld?z,Nkasland Cronestan,DF,26,1995,2.91,-0.09,0.01,-0.02,,-0.05,-0.01,,,,-0.03,-0.08,Tournament,2020,,,,,,
Y. Meyer,Nkasland Cronestan,DF,33,1988,6.01,0.2,0.42,0.24,33.27,0.52,0.19,0.4,1.08,,0.1,0.07,Tournament,2020,,,,,,
F. Nyakaisiki,Nkasland Cronestan,FW,27,1994,2.05,0.09,1.51,0.38,33.33,1.45,0.44,0.04,-0.04,,0.04,-0.05,Tournament,2020,,,,,,
Q. Virtanen,Nkasland Cronestan,FW,26,1995,1.56,-0.04,2.65,0.74,25.06,2.77,0.57,0.04,0.05,,-0.02,0.04,Tournament,2020,,,,,,
S. Y?lmaz,Nkasland Cronestan,FW,33,1988,2.92,0.74,3.23,1.01,30.07,3.39,1.07,0.1,0.65,,0.03,0.02,Tournament,2020,,,,,,
J. Vásquez,Nkasland Cronestan,GK,31,1990,2.93,-0.01,0.06,-0.1,,-0.04,0.05,,,,0.06,-0.01,Tournament,2020,,,,,,
S. Kiconco,Nkasland Cronestan,GK,36,1985,2.99,0.08,0.09,0.03,,-0.08,-0.04,,,,-0.08,0.02,Tournament,2020,,,,,,
D. Kikuchi,Nkasland Cronestan,MF,22,1999,1.84,0,0.58,0.52,100.03,0.56,0.56,-0.07,0.03,,-0.07,0.03,Tournament,2020,,,,,,
H. Nuwahereza,Nkasland Cronestan,MF,33,1988,2.9,0.43,2.77,1.41,50,2.84,1.41,0.21,0.3,,0.04,-0.07,Tournament,2020,,,,,,
K. Abaho,Nkasland Cronestan,MF,22,1999,2.35,0.03,-0.06,-0.07,,0.05,-0.09,,,,-0.08,-0.01,Tournament,2020,,,,,,
O. Kraus,Nkasland Cronestan,MF,31,1990,3.66,0.03,0.2,0.31,99.94,0.34,0.33,0.05,-0.04,,0.09,0.09,Tournament,2020,,,,,,
Q. Liang,Nkasland Cronestan,MF,27,1994,3.02,-0.01,0.24,0.4,99.95,0.42,0.32,0.08,-0.08,,-0.01,-0.04,Tournament,2020,,,,,,
S. Ayuba,Nkasland Cronestan,MF,23,1998,4.92,0.13,0.74,0.48,49.91,0.71,0.36,0.24,0.54,,-0.03,-0.01,Tournament,2020,,,,,,
S. Greco,Nkasland Cronestan,MF,23,1998,0.8,0.08,5.01,1.25,24.96,4.89,1.21,0.1,0.07,,-0.1,-0.01,Tournament,2020,,,,,,
W. Wandera,Nkasland Cronestan,MF,29,1992,0.37,-0.01,3.24,-0.09,-0.09,3.25,-0.06,-0.1,,,0.03,0.03,Tournament,2020,,,,,,
X. Amuge,Nkasland Cronestan,MF,29,1992,2.39,-0.1,0.93,0.06,0.06,0.87,0.06,-0.02,,,0.06,0.04,Tournament,2020,,,,,,
X. Nyombi,Nkasland Cronestan,MF,31,1990,4.59,-0.08,0.44,0.02,-0.02,0.36,0.08,0.1,,,-0.1,-0.02,Tournament,2020,,,,,,
Y. Almutairi,Nkasland Cronestan,MF,26,1995,2.27,0.48,2.79,0.89,33.24,2.64,0.83,0.2,0.58,,-0.06,0.05,Tournament,2020,,,,,,
F. Frimpong,Pahon,DF,27,1994,3.83,-0.04,0.49,0.01,0.01,0.52,-0.07,-0.04,,,-0.09,0.09,Tournament,2020,,,,,,
H. Nakagolo,Pahon,DF,30,1991,2.99,0.04,0.24,0.41,100.08,0.35,0.41,-0.03,0.02,,-0.06,0.05,Tournament,2020,,,,,,
K. Ndlovu,Pahon,DF,31,1990,1.05,-0.04,0.94,-0.04,0.09,0.97,0.08,0.03,,,-0.02,0.06,Tournament,2020,,,,,,
K. Supriadi,Pahon,DF,29,1992,3.98,0.02,0.23,0.04,-0.02,0.23,0.04,0.04,,,0.08,0,Tournament,2020,,,,,,
P. Rukundo,Pahon,DF,27,1994,4.93,-0.07,-0.02,0.1,,-0.03,-0.06,,,,0.1,0.04,Tournament,2020,,,,,,
T. Odyek,Pahon,DF,28,1993,1.13,-0.02,0.09,-0.01,,0.07,0.08,,,,0.02,-0.03,Tournament,2020,,,,,,
U. McLaughlin,Pahon,DF,34,1987,3.08,-0.05,0.34,0.08,-0.02,0.34,0,-0.1,,,-0.02,-0.06,Tournament,2020,,,,,,
U. Zupan?i?,Pahon,DF,29,1992,3.25,-0.03,0.04,0,,0,-0.05,,,,0.02,0,Tournament,2020,,,,,,
L. Polishchuk,Pahon,FW,27,1994,2.89,0.01,1.31,0.68,50.07,1.37,0.66,0.07,0.08,,0.06,0.01,Tournament,2020,,,,,,
O. bin Othman,Pahon,FW,29,1992,1.32,0.68,4.21,2.05,49.96,4.17,2.17,0.11,0.24,,0.09,0.06,Tournament,2020,,,,,,
P. Damico,Pahon,FW,33,1988,1.18,0.8,3.32,0.73,24.99,3.39,0.88,0.01,0.05,,0.85,0.82,Tournament,2020,,,,,,
F. Monday,Pahon,FWMF,32,1989,4.73,0.93,4.7,1.74,36.31,4.63,1.62,0.16,0.55,,0.04,0.01,Tournament,2020,,,,,,
K. K?l?ç,Pahon,FWMF,27,1994,0.22,-0.07,-0.02,-0.09,,0.05,0.06,,,,-0.1,-0.08,Tournament,2020,,,,,,
B. Kaunda,Pahon,GK,34,1987,6.07,-0.01,0.02,0,,-0.08,0.06,,,,-0.06,0.08,Tournament,2020,,,,,,
C. Kato,Pahon,MF,27,1994,0.59,-0.06,0.08,-0.06,,0.07,0.07,,,,0.06,0.09,Tournament,2020,,,,,,
E. Audu,Pahon,MF,27,1993,0.2,-0.03,0.07,-0.03,,-0.06,0.06,,,,-0.09,0.03,Tournament,2020,,,,,,
E. Turk,Pahon,MF,29,1991,2.05,-0.04,0.57,0.07,0.01,0.46,-0.08,0.04,,,-0.03,0.02,Tournament,2020,,,,,,
H. Biribawa,Pahon,MF,25,1995,3.74,0.45,1.12,1.04,100.05,1.15,1.14,0.46,0.6,,0.03,-0.04,Tournament,2020,,,,,,
M. Hodži?,Pahon,MF,31,1990,1.71,1.25,2.36,1.13,50.09,2.32,1.12,0.52,1.08,,0.1,0.01,Tournament,2020,,,,,,
P. Hendriks,Pahon,MF,22,1999,5.91,0.03,1.03,0.21,16.8,1.03,0.15,0.09,-0.05,,-0.03,0.02,Tournament,2020,,,,,,
P. O’Neill,Pahon,MF,26,1995,0.36,0.01,0.1,0.06,,-0.06,0,,,,-0.02,0.1,Tournament,2020,,,,,,
S. Magnusson,Pahon,MF,29,1992,0.15,-0.05,-0.06,0,,-0.05,0.09,,,,0.01,0.02,Tournament,2020,,,,,,
U. Nanyunja,Pahon,MF,28,1993,3.74,-0.1,0.54,0.34,49.97,0.48,0.21,-0.05,-0.03,,0.02,0.06,Tournament,2020,,,,,,
V. Fernandez,Pahon,MF,29,1991,3.7,0.02,0.77,0.34,33.23,0.74,0.28,0.06,-0.02,,-0.04,-0.02,Tournament,2020,,,,,,
Y. Kazemi,Pahon,MF,26,1995,3.19,0.03,1.06,0.33,33.23,0.87,0.24,0.04,0.08,,-0.05,-0.08,Tournament,2020,,,,,,
D. Nishimura,People's Land of Maneau,DF,27,1994,5.06,-0.05,1.08,0.37,39.97,0.95,0.4,0.08,0.04,,-0.06,0.08,Tournament,2020,,,,,,
K. Mirkovi?,People's Land of Maneau,DF,28,1993,1.86,0.04,0.08,-0.02,,0.1,0.02,,,,0.09,0.07,Tournament,2020,,,,,,
O. Atim,People's Land of Maneau,DF,31,1990,4.45,0.08,0.63,-0.03,0.01,0.76,-0.06,0.07,,,-0.06,0.09,Tournament,2020,,,,,,
T. Chebet,People's Land of Maneau,DF,24,1997,2.08,0,-0.06,-0.06,,0.06,0.02,,,,0,0.09,Tournament,2020,,,,,,
U. Wright,People's Land of Maneau,DF,28,1993,2.33,-0.09,1.28,0.35,33.32,1.27,0.53,-0.07,0.01,,0.05,-0.09,Tournament,2020,,,,,,
V. Thompson,People's Land of Maneau,DF,21,1999,1.13,0.06,1.82,1.88,100.02,1.69,1.85,0.07,-0.06,,-0.01,-0.04,Tournament,2020,,,,,,
Z. Nakagawa,People's Land of Maneau,DF,24,1997,0.51,0.02,-0.02,-0.07,,-0.02,0.05,,,,-0.09,0.1,Tournament,2020,,,,,,
N. Ono,People's Land of Maneau,FW,24,1997,1.13,-0.05,4.25,0.78,19.92,4.35,0.92,0.07,0.01,,0.09,-0.05,Tournament,2020,,,,,,
T. Acom,People's Land of Maneau,FW,29,1992,0.39,0.09,0.07,-0.07,,-0.04,0.07,,,,0.04,-0.05,Tournament,2020,,,,,,
T. Aguti,People's Land of Maneau,FW,26,1994,1.98,0.4,1.93,1.55,74.97,2.01,1.6,-0.07,0.06,,0.49,0.52,Tournament,2020,,,,,,
Z. binti Zakaria,People's Land of Maneau,FW,28,1993,5.08,0.01,4.73,1.01,20.71,4.84,1.08,-0.05,-0.08,,-0.02,0.06,Tournament,2020,,,,,,
Z. Makore,People's Land of Maneau,FW,24,1997,0.24,-0.04,4.92,-0.01,0.06,6.1,-0.08,0.03,,,0.04,0.01,Tournament,2020,,,,,,
Z. Nabaweesi,People's Land of Maneau,FWMF,20,2001,0.16,0.09,0.02,0.01,,-0.09,-0.06,,,,0.07,0.03,Tournament,2020,,,,,,
X. Neri,People's Land of Maneau,GK,27,1994,5.9,0.04,0.08,0.07,,0.03,0.09,,,,0.01,0.06,Tournament,2020,,,,,,
A. Avako,People's Land of Maneau,MF,27,1994,1.03,0,0.08,-0.01,,-0.03,-0.06,,,,0.08,0.05,Tournament,2020,,,,,,
C. Saad,People's Land of Maneau,MF,25,1995,2.09,-0.1,-0.08,0.05,,0.02,-0.09,,,,-0.06,-0.09,Tournament,2020,,,,,,
F. Kalule,People's Land of Maneau,MF,24,1996,0.32,0.06,-0.04,0.07,,0.06,0.04,,,,-0.08,0.03,Tournament,2020,,,,,,
G. Dijkstra,People's Land of Maneau,MF,20,2001,1.64,0.05,3.21,1.32,39.92,3.2,1.26,-0.08,-0.01,,0.02,-0.06,Tournament,2020,,,,,,
H. Twongirwe,People's Land of Maneau,MF,31,1990,1.42,-0.1,-0.08,0.07,,-0.07,-0.08,,,,-0.07,-0.04,Tournament,2020,,,,,,
I. Nayak,People's Land of Maneau,MF,25,1996,0.85,-0.08,0.08,0.01,,0.09,-0.02,,,,-0.01,0.01,Tournament,2020,,,,,,
J. Singini,People's Land of Maneau,MF,21,2000,1.79,1.24,2.88,2.27,80.04,2.9,2.27,0.47,0.45,,0.08,-0.03,Tournament,2020,,,,,,
O. Nampeera,People's Land of Maneau,MF,22,1999,3.55,0.61,2.13,0.78,37.59,2.33,0.81,0.26,0.61,,-0.05,-0.02,Tournament,2020,,,,,,
A. Kamusiime,People's Land of Maneau,MFDF,31,1990,4.74,-0.02,0.22,-0.03,0.03,0.3,-0.09,-0.09,,,-0.1,-0.05,Tournament,2020,,,,,,
D. Bergmann,People's Land of Maneau,MFDF,28,1993,2.08,0,0.51,0.49,99.97,0.41,0.57,0.06,-0.07,,0.02,-0.08,Tournament,2020,,,,,,
I. Iddrisu,People's Land of Maneau,MFDF,22,1999,5.87,0.12,1.1,0.26,16.66,1.04,0.1,0.27,1.09,,0.09,-0.01,Tournament,2020,,,,,,
Z. Rojas,People's Land of Maneau,MFDF,23,1998,1.92,0.04,0.58,-0.03,0.08,0.43,-0.07,-0.05,,,-0.05,-0.09,Tournament,2020,,,,,,
K. Namuwaya,People's Land of Maneau,MFFW,26,1995,2.06,-0.06,1.97,-0.09,-0.09,2.01,-0.06,0.07,,,-0.05,0.05,Tournament,2020,,,,,,
L. Malinga,People's Land of Maneau,MFFW,21,2000,2.04,0.04,0.38,-0.06,-0.09,0.39,0.08,-0.03,,,0.03,-0.03,Tournament,2020,,,,,,
T. Ichikawa,People's Land of Maneau,MFFW,24,1997,1.87,0.63,2.68,1.18,40.09,2.73,1.21,0.08,0.01,,0.61,0.51,Tournament,2020,,,,,,
F. Hadi,Prometricia,DF,29,1992,1.71,-0.05,0.57,0.04,-0.01,0.66,0.01,-0.1,,,0.05,0.1,Tournament,2020,,,,,,
G. Shinde,Prometricia,DF,30,1991,1.19,0.03,0.9,0.03,0.06,0.92,0.1,-0.06,,,0.05,0.06,Tournament,2020,,,,,,
W. Tindimwebwa,Prometricia,DF,30,1990,2,0.08,-0.02,-0.02,,0.01,-0.06,,,,0.09,0.07,Tournament,2020,,,,,,
Z. Ojo,Prometricia,DF,24,1997,2.47,0.08,0.84,0.87,99.92,0.72,0.77,-0.03,-0.1,,0.03,-0.02,Tournament,2020,,,,,,
C. binti Mohamed,Prometricia,DFFW,24,1997,3.56,0.07,0.49,0.37,50.03,0.64,0.19,-0.05,-0.06,,-0.03,0.02,Tournament,2020,,,,,,
O. Turk,Prometricia,DFMF,27,1994,4.07,-0.09,0.77,0.52,66.75,0.72,0.54,0.01,-0.01,,0.02,-0.05,Tournament,2020,,,,,,
A. Gomes,Prometricia,FW,29,1992,0.73,0.07,1.43,0,0.08,1.4,0.05,0.06,,,0.1,0.03,Tournament,2020,,,,,,
H. Munthali,Prometricia,FW,25,1996,0.16,-0.05,4.95,-0.01,0,4.69,-0.05,0.04,,,-0.09,0.01,Tournament,2020,,,,,,
L. Martín,Prometricia,FW,20,2001,1.61,0.69,0.6,0.51,100.06,0.58,0.6,1.05,1.09,,0.06,-0.06,Tournament,2020,,,,,,
A. Chui,Prometricia,GK,32,1989,3.07,-0.05,-0.05,-0.08,,-0.01,0.01,,,,0.07,-0.05,Tournament,2020,,,,,,
Q. Issah,Prometricia,GK,28,1993,0.91,-0.08,0.07,0.08,,0.01,0.07,,,,-0.09,0.06,Tournament,2020,,,,,,
A. Nakisige,Prometricia,MF,25,1996,2.59,0.02,1.12,-0.08,-0.02,1.29,-0.02,-0.1,,,-0.09,0,Tournament,2020,,,,,,
B. Mwima,Prometricia,MF,20,2000,1.78,-0.09,1.69,1.23,66.77,1.74,1.18,-0.01,0.07,,0.06,-0.04,Tournament,2020,,,,,,
B. Wallner,Prometricia,MF,30,1991,1.08,0.06,-0.05,0.01,,-0.01,0.08,,,,-0.1,0.01,Tournament,2020,,,,,,
I. Dupont,Prometricia,MF,27,1994,1.77,-0.03,0,-0.07,,0.08,-0.05,,,,0.08,-0.01,Tournament,2020,,,,,,
O. Johnson,Prometricia,MF,25,1996,0.82,-0.02,1.09,-0.01,-0.02,1.16,0,-0.07,,,0.06,-0.08,Tournament,2020,,,,,,
O. Shafiee,Prometricia,MF,30,1991,3.91,0.31,2.55,1.02,39.99,2.57,0.91,0.12,0.17,,0.07,0.05,Tournament,2020,,,,,,
S. Gaby,Prometricia,MF,23,1998,0.86,-0.02,-0.05,-0.05,,-0.06,0.01,,,,-0.05,0.04,Tournament,2020,,,,,,
Y. Gao,Prometricia,MF,23,1998,1.9,0.54,2.03,0.5,25.03,2.11,0.59,0.16,1.05,,0,-0.1,Tournament,2020,,,,,,
E. Sugiyama,Prometricia,MFDF,32,1989,2.93,-0.1,0.93,0.25,33.32,0.96,0.25,-0.06,-0.03,,-0.01,0.08,Tournament,2020,,,,,,
L. Kami?ski,Prometricia,MFDF,34,1987,1.87,-0.01,1.03,0.02,0.07,0.99,0.07,0.05,,,-0.04,-0.03,Tournament,2020,,,,,,
G. Marchetti,Prometricia,MFFW,25,1996,2.93,-0.06,2.66,-0.07,0.01,2.71,0.06,0.06,,,0.05,-0.07,Tournament,2020,,,,,,
C. Palmieri,Quewenia,DF,19,2002,0.09,-0.01,-0.02,0.03,,0.09,-0.03,,,,0.07,0.08,Tournament,2020,,,,,,
H. Arthur,Quewenia,DF,25,1996,4.97,-0.03,0.14,0.06,-0.08,0.28,-0.01,0.06,,,-0.05,-0.04,Tournament,2020,,,,,,
K. Oloya,Quewenia,DF,29,1992,1.95,-0.03,0.95,0.43,49.91,0.93,0.46,-0.09,-0.03,,0.05,0.07,Tournament,2020,,,,,,
L. Kule,Quewenia,DF,28,1993,2.92,0.41,1.38,0.74,49.96,1.32,0.67,0.35,0.43,,0.04,-0.06,Tournament,2020,,,,,,
M. Nabukwasi,Quewenia,DF,29,1991,1.97,0.1,-0.03,0,,-0.01,-0.05,,,,-0.08,-0.07,Tournament,2020,,,,,,
Q. Yadav,Quewenia,DF,26,1995,2.91,0.1,0.38,0.09,0,0.36,0.02,0.04,,,-0.03,-0.03,Tournament,2020,,,,,,
T. Candia,Quewenia,DF,29,1992,4.68,0.06,0.51,0.21,49.95,0.49,0.23,-0.04,-0.07,,-0.06,-0.07,Tournament,2020,,,,,,
V. Athieno,Quewenia,DF,25,1996,1.23,-0.05,-0.08,0.04,,0,-0.04,,,,-0.03,-0.07,Tournament,2020,,,,,,
W. Okeke,Quewenia,DF,26,1995,0.98,0.01,-0.04,0.06,,-0.09,0.02,,,,-0.01,0.05,Tournament,2020,,,,,,
G. Were,Quewenia,FW,29,1992,4.99,0.25,2.94,0.73,28.52,2.79,0.87,0.09,0.24,,0.07,-0.05,Tournament,2020,,,,,,
H. Kurnia,Quewenia,FW,31,1989,0.87,2.28,4.37,3.23,74.95,4.58,3.44,0.49,0.7,,0.05,-0.04,Tournament,2020,,,,,,
U. Pichler,Quewenia,FW,24,1997,0.12,-0.06,-0.08,-0.05,,-0.01,-0.02,,,,-0.07,-0.01,Tournament,2020,,,,,,
Z. Uy,Quewenia,FW,30,1991,0.71,0.06,2.46,1.18,50.09,2.46,1.25,-0.05,-0.04,,-0.08,-0.09,Tournament,2020,,,,,,
M. Nakano,Quewenia,FWMF,24,1996,0.01,-0.03,-0.08,0,,0.06,0.01,,,,-0.01,-0.08,Tournament,2020,,,,,,
R. Yiga,Quewenia,GK,32,1988,4.98,-0.01,0.09,0.08,,0.01,-0.02,,,,0.08,-0.07,Tournament,2020,,,,,,
G. Odoch,Quewenia,MF,23,1998,1.39,-0.1,2.09,0,0.03,2.3,0.1,-0.07,,,0.03,0.07,Tournament,2020,,,,,,
H. Adjei,Quewenia,MF,29,1992,2.81,0.75,0.69,0.61,100.03,0.65,0.75,1.07,0.98,,-0.05,-0.09,Tournament,2020,,,,,,
K. Abalo,Quewenia,MF,29,1992,4.91,0.07,1.16,0.65,50.07,1.25,0.51,-0.09,0.02,,0.04,0.01,Tournament,2020,,,,,,
M. Mathieu,Quewenia,MF,24,1997,2.78,-0.03,0.66,0.05,-0.02,0.71,0.08,-0.06,,,-0.01,0.03,Tournament,2020,,,,,,
Q. Addo,Quewenia,MF,30,1991,1.78,0.07,1.11,1.21,100.07,1.09,1.21,-0.01,-0.06,,0.09,0.05,Tournament,2020,,,,,,
Q. Nakityo,Quewenia,MF,30,1991,1.85,-0.08,1.59,1,66.62,1.55,1.03,-0.07,0.03,,0.06,-0.05,Tournament,2020,,,,,,
Q. Ow,Quewenia,MF,24,1997,2.81,0.05,0.77,-0.02,-0.1,0.67,0.01,0.04,,,-0.04,0.07,Tournament,2020,,,,,,
W. Rudenko,Quewenia,MF,24,1997,0.12,0.02,5.02,0.05,0.08,4.6,0.09,0.06,,,-0.02,-0.05,Tournament,2020,,,,,,
