Player,Nation,Pos,Squad,Age,Born,90s,Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Performance PK,Performance PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,League,Year
C. Kasangaki,Nganion,DF,Running Bigfoots,29,1989,8.61,0.06,0.88,0.73,74.9,0.88,0.68,0.15,0.09,19.85,-0.03,0.03,0,0.1,0.07,0.06,0.1,-0.07,E,2020
C. Navarro,Nganion,DF,Running Bigfoots,33,1985,37.46,0.01,0.32,0.08,19.96,0.36,0.09,0.04,0.07,25.02,-0.07,-0.06,-0.03,-0.05,-0.04,0.08,-0.05,0,E,2020
K. Mpofu,Nganion,DF,Running Bigfoots,22,1996,27.93,-0.01,1.04,0.2,24.13,1.12,0.23,0.09,0.2,16.89,-0.09,-0.07,-0.08,0.01,0.08,0.15,-0.05,0.01,E,2020
X. Nabukalu,Nganion,DF,Running Bigfoots,27,1992,8,0.09,0.28,0.03,-0.06,0.38,0.08,0.06,,15.93,0.02,0.02,-0.06,0.07,0.01,0.06,0.05,-0.02,E,2020
A. Bondarenko,Biarizea,FW,Running Bigfoots,23,1995,13.89,0.38,3.2,1.01,31.83,3.17,1.04,0.21,0.32,16.87,0.01,0.07,-0.05,0.13,0.27,0.13,0.19,0.09,E,2020
O. Wong,Biarizea,FW,Running Bigfoots,22,1997,8.82,0.48,2.32,0.86,38.07,2.42,0.94,0.29,0.41,10.85,0,0.08,-0.08,0.37,0.47,0.13,0.1,0,E,2020
U. Yong,Byasier Pujan,FW,Running Bigfoots,28,1990,22.97,0.32,2.5,1,43.58,2.45,1.07,0.09,0.23,10.07,-0.07,-0.06,0.06,0.39,0.29,0.16,-0.07,-0.14,E,2020
N. Khalil,Dastatesne,FW,Running Bigfoots,27,1992,0.38,0.04,6.62,0.08,0.05,6.89,0.1,0.1,,11.21,-0.04,0.08,0.09,0.33,0.32,0.13,-0.3,-0.29,E,2020
G. Nadunga,Imaar Vircoand,FW,Running Bigfoots,25,1994,30.59,0.48,2.76,1.02,38.35,2.75,0.96,0.19,0.35,17.05,0.06,0.13,0.18,0.29,0.24,0.13,0.2,0.14,E,2020
F. Lubowa,Newgan Ruland,FW,Running Bigfoots,31,1988,4.92,0.25,2.67,1.23,46.12,2.63,1.13,0,0.15,11.07,0.02,0.09,-0.07,0.56,0.4,0.1,-0.34,-0.23,E,2020
E. Mwesigye,Nganion,FW,Running Bigfoots,18,2001,0.64,0,0.03,-0.03,,0.01,-0.09,,,,-0.03,-0.09,-0.03,0.02,0.05,,-0.07,-0.01,E,2020
U. Woo,Nganion,FW,Running Bigfoots,32,1986,9.95,0.39,2.87,1.11,42.9,2.87,1.19,0.15,0.2,16.37,0.02,0.1,-0.05,0.29,0.12,0.06,0.02,0.11,E,2020
M. Mubangizi,Greri Landmoslands,FWMF,Running Bigfoots,23,1995,1.59,0.05,1.33,1.4,99.91,1.32,1.33,-0.01,0.06,24.22,0.63,0.02,-0.02,0.13,-0.02,0.11,-0.04,-0.1,E,2020
I. Murakami,Nganion,FWMF,Running Bigfoots,20,1999,0.4,-0.08,-0.08,0.02,,0.01,0.02,,,,0.01,0.06,0,0.08,0.02,,-0.1,0.05,E,2020
P. bin Ibrahim,Nganion,FWMF,Running Bigfoots,25,1993,8.7,0.07,1.6,0.84,50.06,1.53,0.8,0.15,0.11,22.34,0.24,-0.04,-0.02,0.1,0.01,0.02,0.06,-0.03,E,2020
N. Mucunguzi,Biarizea,GK,Running Bigfoots,28,1991,5.55,-0.01,0.05,0.08,,0.05,-0.08,,,,0.03,0.04,0.06,0,0.06,,-0.08,-0.02,E,2020
U. Nishimura,Galamily,GK,Running Bigfoots,30,1989,32.46,0.09,-0.04,0.09,,0.02,0.02,,,,-0.05,0.1,-0.03,0.02,-0.06,,-0.09,-0.05,E,2020
S. Mäkelä,Imaar Vircoand,MF,Running Bigfoots,31,1988,27.49,0.12,1.37,0.31,21,1.44,0.25,-0.03,0.09,24.76,0.12,0.16,-0.01,0.19,0.02,0.06,0.08,0.05,E,2020
G. Gentile,Lefghau,MF,Running Bigfoots,32,1987,29.46,0.16,0.56,0.23,42.9,0.53,0.22,0.05,0.39,10.1,-0.03,0.05,0,0.07,0.03,0.05,-0.08,-0.02,E,2020
V. Handayani,Nganion,MF,Running Bigfoots,25,1994,25.06,0.16,1.12,0.2,21.35,1.14,0.28,0.06,0.35,23.09,0.41,-0.02,-0.08,0.11,0.02,0.1,0.1,-0.02,E,2020
I. Carpentier,Rosvi,MFDF,Running Bigfoots,27,1991,13.49,0.03,0.58,0.17,14.36,0.6,0.14,-0.09,-0.03,25.17,0.04,0.02,0.03,0.12,0.01,0.14,-0.05,-0.11,E,2020
G. Agustina,Imaar Vircoand,MFFW,Running Bigfoots,30,1989,12.26,0.2,1.26,0.43,37.44,1.38,0.53,0.26,0.4,12.41,0.04,0.1,0.09,0.1,0.14,0.03,0.16,0.09,E,2020
F. Ngulube,Nganion,MFFW,Running Bigfoots,24,1994,17.68,0.13,1,0.53,62.55,0.99,0.65,0.22,0.26,19.13,-0.03,0.07,0.08,0,0.06,0.12,0.1,0.04,E,2020
X. Muzaki,Imaar Vircoand,DF,Sassy Knights,32,1987,14.24,-0.02,0.15,0.2,66.65,0.26,0.05,0.39,0.43,26.71,-0.06,-0.08,0.05,-0.08,0.02,0.06,0.07,0.14,E,2020
L. Kimuli,Nathuacamana,DF,Sassy Knights,21,1998,33.13,0.06,0.56,0.03,16.75,0.46,0.13,0.07,0.3,18.09,0.09,-0.04,0.02,0,0.02,0.06,-0.08,-0.07,E,2020
G. Varma,Nganion,DF,Sassy Knights,25,1994,30.98,0.01,0.52,0.12,26.39,0.66,0.22,-0.03,0.02,10.38,-0.06,-0.05,0.07,0.12,-0.02,0.08,-0.12,-0.02,E,2020
J. Chan,Nganion,DF,Sassy Knights,31,1988,7.97,0.07,0.04,0.1,,-0.02,-0.09,,,,-0.05,0.02,0.01,0.07,-0.05,,0.09,0.04,E,2020
K. Byakatonda,Nganion,DF,Sassy Knights,27,1992,6.09,0.24,0.41,0.22,50.04,0.42,0.12,0.51,1.06,7.05,-0.07,0.01,-0.09,0.01,-0.06,0.19,0.11,0.19,E,2020
Q. Alonso,Nganion,DF,Sassy Knights,24,1995,25.87,-0.01,0.58,0.12,26.77,0.59,0.07,0,-0.08,20.13,0.02,0.04,-0.05,0.09,0.02,0.06,-0.05,-0.05,E,2020
T. Nalugo,Nganion,DF,Sassy Knights,30,1989,2.29,0.05,0.41,0.09,-0.1,0.44,-0.09,0.09,,19.95,-0.06,-0.05,-0.02,0.06,0.05,0.04,-0.04,0.02,E,2020
A. binti Zakaria,Zacia Lygia,DF,Sassy Knights,30,1989,29.06,0.14,0.52,0.04,28.58,0.57,0.24,0.29,0.66,9.48,-0.08,-0.07,0.09,0.14,0.06,0.05,-0.04,0.13,E,2020
S. Baig,Nganion,DFMF,Sassy Knights,21,1997,5.19,0.26,0.82,0.36,50.02,0.69,0.44,0.3,0.41,13.71,-0.06,0.06,0.01,0.02,-0.02,0.14,0.1,0.1,E,2020
F. Rozman,Imaar Vircoand,FW,Sassy Knights,25,1994,17.76,0.47,3.87,1.51,39.76,3.75,1.55,0.06,0.28,18.04,0.02,0.09,0.08,0.42,0.49,0.17,0.09,0.16,E,2020
K. Benhamou,Nganion,FW,Sassy Knights,24,1995,4.49,-0.02,1.92,0.46,22.16,2.09,0.4,-0.03,-0.02,14.84,0.07,-0.07,0,0.17,0.12,0.1,-0.28,-0.14,E,2020
K. Vogel,Nganion,FW,Sassy Knights,31,1988,2.75,0.31,1.84,0.78,39.98,1.83,0.8,0.05,-0.02,16.53,0.05,0.36,0.28,0.51,0.18,0.09,-0.08,-0.08,E,2020
L. Ibrahimovi?,Nganion,FW,Sassy Knights,24,1995,7.85,0.11,1.68,0.43,30.75,1.58,0.42,0.1,0.27,15.76,-0.09,0.1,0.03,0.14,0.22,0.13,-0.09,-0.22,E,2020
M. Acola,Nganion,FW,Sassy Knights,17,2001,0.06,0.03,-0.05,0.06,,0.08,-0.08,,,,0.06,0.03,-0.1,0.01,-0.05,,0.06,-0.07,E,2020
T. Jiu,Nganion,FW,Sassy Knights,32,1986,9.77,0.39,2.17,0.78,33.26,2.23,0.72,0.04,0.45,11.54,0.03,0.04,-0.06,0.3,0.3,0.13,-0.04,-0.04,E,2020
F. Magaia,Nganion,FWMF,Sassy Knights,21,1997,0.2,0.01,-0.01,0.01,,0.08,-0.04,,,,0,0.03,-0.1,0,-0.05,,0.02,-0.02,E,2020
H. Abe,Nganion,FWMF,Sassy Knights,24,1995,8.81,0.29,2.4,0.69,28.54,2.42,0.58,0.04,0.27,16.3,-0.01,0.07,0,0.13,0.09,0,0.14,0.13,E,2020
L. Nakalembe,Nganion,FWMF,Sassy Knights,31,1988,15.93,0.06,1.22,0.51,38.99,1.02,0.44,-0.03,0.07,14.61,-0.02,0.04,0.13,0.21,0.2,0.15,-0.05,-0.12,E,2020
G. Alali,Nganion,GK,Sassy Knights,26,1993,18.44,-0.02,-0.01,0.03,,-0.09,0.03,,,,-0.09,-0.06,-0.05,0.02,0.02,,0.05,0.03,E,2020
I. Kisitu,Nganion,GK,Sassy Knights,23,1996,1.99,-0.01,0.06,-0.04,,0.09,0,,,,0.04,0,-0.02,0.06,-0.02,,-0.04,0.06,E,2020
M. Sseguya,Nganion,GK,Sassy Knights,35,1984,17.63,-0.01,-0.01,0.04,,-0.07,-0.03,,,,-0.03,0.05,-0.02,-0.09,0.07,,0.01,0.04,E,2020
F. Lukyamuzi,Nganion,MF,Sassy Knights,31,1988,12.06,0.18,1.58,0.59,36.75,1.6,0.61,0.06,0.31,23.68,0.16,-0.09,0.05,0.08,0.19,0.1,0.13,0.05,E,2020
J. Kayendeke,Nganion,MF,Sassy Knights,33,1986,25.78,0,0.72,0.23,29.32,0.67,0.18,0.06,0.35,12.53,-0.02,0.09,-0.04,0.18,0.03,0.16,-0.06,0.05,E,2020
P. Ngamita,Nganion,MF,Sassy Knights,29,1990,12.9,-0.05,0.97,0.17,15.34,1.08,0.15,-0.01,0.09,27.39,-0.02,-0.02,0.04,-0.06,0.09,0,-0.12,0.04,E,2020
Y. Arinitwe,Nganion,MF,Sassy Knights,19,1999,0.13,0.05,-0.08,0.02,,0.08,0.04,,,,0.06,-0.07,-0.04,0.05,0,,-0.04,-0.05,E,2020
J. Poto?nik,Rosvi,MF,Sassy Knights,27,1992,24.86,0.08,0.93,0.24,33.31,0.76,0.33,-0.03,0.09,11.14,0.09,0,0.07,-0.02,0.05,0.18,-0.11,-0.12,E,2020
K. Deng,Nganion,MFDF,Sassy Knights,21,1998,16.55,0.1,0.83,0.27,21.32,0.94,0.21,0.05,0.24,25.43,-0.07,-0.01,-0.1,0.03,0.11,0.03,-0.04,0.01,E,2020
C. Said,Nganion,MFFW,Sassy Knights,26,1993,6.08,0.12,1.3,0.11,12.58,1.28,0.14,0.23,1,13.4,0,0.08,0.08,0.27,0.12,0.06,0.05,0.07,E,2020
J. Pradhan,Nganion,MFFW,Sassy Knights,22,1997,3.54,0,1.68,0.76,50.1,1.67,0.82,-0.04,-0.04,18.57,0.01,-0.09,-0.01,0.14,0.21,0.01,-0.1,-0.08,E,2020
R. Tumusiime,Nganion,MFFW,Sassy Knights,30,1989,30.11,0.17,2.35,0.62,26.45,2.48,0.63,-0.04,0.07,24.9,0.2,0.19,0.12,0.19,0.15,0.14,-0.07,-0.09,E,2020
V. Phung,Nganion,MFFW,Sassy Knights,26,1993,24.21,0.34,2.05,0.79,36.46,2.18,0.87,0.19,0.33,19.79,0.44,-0.04,-0.05,0.25,0.25,0.07,0.07,0.12,E,2020
I. Leibowitz,Imaar Vircoand,DF,Screaming Ramblers,25,1993,13.35,0,0.51,0.08,16.73,0.48,0.18,0.21,1.03,9.39,0.01,-0.03,0.06,-0.02,0.08,0.02,0.02,0,E,2020
K. Asadi,Lefghau,DF,Screaming Ramblers,25,1993,23.58,0.02,0.17,0.08,50.01,0.28,0.04,0.38,0.58,8.24,-0.06,0.1,0.03,-0.02,0.03,0.08,0.02,-0.04,E,2020
A. O'Connor,Nganion,DF,Screaming Ramblers,17,2002,1.04,-0.01,0.09,-0.02,,0.06,-0.01,,,,-0.04,0.03,0.01,0.06,-0.1,,-0.04,0,E,2020
B. Binder,Nganion,DF,Screaming Ramblers,29,1990,21.03,-0.07,0.31,0.02,14.24,0.32,0.1,0.08,-0.02,20.8,-0.05,0.07,-0.1,0.06,0.06,0.06,-0.11,-0.01,E,2020
E. Miyamoto,Nganion,DF,Screaming Ramblers,21,1997,2.57,-0.07,0.03,0.09,,0.05,-0.01,,,,0,-0.02,0.01,0.09,0.08,,0.08,0.04,E,2020
G. Magaya,Nganion,DF,Screaming Ramblers,23,1996,23.29,0.05,0.11,0.1,33.23,0.15,0.11,0.36,0.92,24.35,-0.07,0.01,0.02,0,-0.04,0.31,-0.06,-0.04,E,2020
O. Gatti,Nganion,DF,Screaming Ramblers,22,1997,9.6,-0.08,0.34,0.04,-0.07,0.4,-0.06,0.08,,14.95,-0.04,0.02,0.01,-0.01,0.13,0.15,-0.11,-0.15,E,2020
S. Kule,Nganion,DF,Screaming Ramblers,23,1995,29.52,-0.01,0.62,0.18,40.04,0.67,0.32,-0.08,-0.09,17.23,-0.06,-0.07,0.04,0.03,-0.05,0.12,-0.13,-0.11,E,2020
T. Haim,Nganion,DF,Screaming Ramblers,29,1989,29.44,0.07,0.19,0.01,12.57,0.26,0.08,0.18,1.02,14.77,0,0.09,0.06,0.07,-0.02,0.01,0.08,0.05,E,2020
O. Bošnjak,Northern Namemo Laand,DF,Screaming Ramblers,25,1994,0.9,-0.02,0.02,0.06,,-0.07,-0.06,,,,-0.05,0.06,-0.07,-0.08,0.04,,-0.06,0.01,E,2020
Q. Amanya,Hazi Kimar,FW,Screaming Ramblers,21,1998,0.19,-0.06,4.97,5.07,99.9,4.16,4.15,0.09,-0.05,24.03,0,-0.02,0.09,0,0.09,0.06,-0.08,-0.09,E,2020
H. Namwase,Nganion,FW,Screaming Ramblers,29,1990,30.82,0.32,2.68,0.96,34.64,2.55,0.95,0.21,0.33,13.21,0.01,0.03,0.02,0.44,0.3,0.02,-0.01,-0.09,E,2020
S. Nyathi,Nganion,FW,Screaming Ramblers,30,1988,27.64,0.47,1.48,0.43,32.51,1.47,0.47,0.22,0.36,17.77,0.14,0.2,0.19,0.29,0.14,0.11,-0.06,0.07,E,2020
D. Mugisa,Xikong,FWDF,Screaming Ramblers,27,1992,1.18,0.02,1.8,0.05,0.03,1.95,0.09,-0.04,,20.62,0.85,-0.04,-0.1,0.28,0.18,0,-0.23,-0.25,E,2020
C. Ismail,Nganion,GK,Screaming Ramblers,22,1996,3.01,0.07,0.08,-0.03,,-0.06,0,,,,-0.05,-0.09,0.04,0,-0.07,,0.03,-0.06,E,2020
F. Dauda,Nganion,GK,Screaming Ramblers,33,1986,8.76,0,0.07,0.09,0.09,0.19,-0.05,-0.09,,16.04,0,0.05,-0.06,0,-0.07,0.11,-0.04,-0.01,E,2020
M. Ategeka,Nganion,GK,Screaming Ramblers,27,1992,26.19,-0.02,0.04,0.06,,0.03,-0.08,,,,0.04,-0.09,0.09,-0.07,-0.01,,0.03,0,E,2020
I. Suleman,Central Badad,MF,Screaming Ramblers,19,2000,1.77,-0.04,0.08,-0.1,,-0.04,0.05,,,,0.01,-0.09,0.01,-0.09,-0.06,,0.09,0.07,E,2020
Q. Kobusinge,Nancipenuaroe,MF,Screaming Ramblers,29,1990,14.26,-0.07,0.92,0.06,7.1,0.97,0.02,-0.08,-0.06,29,-0.01,-0.05,0.03,-0.06,0.06,0.08,-0.08,0.06,E,2020
F. Mbale,Nganion,MF,Screaming Ramblers,31,1987,14.85,0.05,0.18,0.05,50.06,0.13,0.13,0.52,1.06,9.23,-0.05,0.04,-0.08,0.03,0.11,0.37,-0.09,-0.04,E,2020
F. Ohana,Nganion,MF,Screaming Ramblers,25,1993,0.24,0.05,0.06,0,,-0.09,-0.07,,,,0.1,-0.08,0.07,-0.07,-0.09,,0.02,-0.04,E,2020
H. Tukamuhebwa,Nganion,MF,Screaming Ramblers,24,1995,0.64,0.02,0,0.07,,0.04,-0.03,,,,0.07,0.09,0.06,-0.05,0.04,,0.08,0.01,E,2020
I. Okiror,Nganion,MF,Screaming Ramblers,33,1986,21.96,0.04,0.84,0.23,34.91,0.88,0.39,-0.06,-0.08,12.83,0.09,-0.07,0.09,0.03,0.05,0.19,-0.13,-0.17,E,2020
J. Mutonyi,Nganion,MF,Screaming Ramblers,25,1994,14.33,0.02,0.59,0.07,24.93,0.48,0.16,0.08,-0.03,24.06,-0.05,-0.07,-0.03,-0.08,-0.06,0.04,-0.02,0.05,E,2020
K. Kaunda,Nganion,MF,Screaming Ramblers,22,1997,0.74,-0.02,0.02,0.09,,0.03,0.03,,,,-0.08,0,0.09,-0.09,-0.04,,-0.07,0.08,E,2020
Q. Muwanguzi,Nganion,MF,Screaming Ramblers,26,1993,12.12,0.12,0.31,0.02,24.93,0.26,0.13,0.2,0.93,16.2,0.01,-0.01,0.01,-0.06,0.02,0.14,0.08,0.15,E,2020
Q. Pellegrino,Nganion,MF,Screaming Ramblers,29,1989,24.07,0.05,0.98,0.37,40.94,0.85,0.42,0.09,0.22,19.6,0.07,-0.06,-0.05,0.11,0.17,0.07,0.05,-0.04,E,2020
S. Wimmer,Nganion,MF,Screaming Ramblers,25,1993,18.22,-0.05,0.43,0.12,22.19,0.55,0.05,0.02,-0.09,20.88,0.08,-0.08,0.08,0.11,0.09,0.02,0.05,-0.03,E,2020
L. Odur,Rosvi,MF,Screaming Ramblers,30,1988,8.64,0.04,0.08,0.02,0.04,0.14,0.08,0.1,,29.26,0.03,-0.1,-0.04,0.05,0.06,0.08,-0.03,0.03,E,2020
N. Kumar,Nganion,MFFW,Screaming Ramblers,18,2001,6.49,0.1,1.32,0.86,55.61,1.36,0.79,0.02,0.12,13.77,0.1,-0.03,-0.04,0.18,0.19,0.11,-0.02,0.01,E,2020
U. Kizito,Nganion,MFFW,Screaming Ramblers,29,1990,9.67,0.1,0.98,0.36,44.4,0.99,0.51,0.04,0.26,20.78,-0.08,0.07,0.01,-0.01,0.07,-0.03,-0.01,-0.03,E,2020
R. Lambert,Ngoque Blicri,MFFW,Screaming Ramblers,22,1997,15.83,-0.03,1.17,0.48,45.03,1.22,0.57,0.03,0.13,14.27,0.1,0.07,0.06,0.24,0.19,0.2,-0.19,-0.22,E,2020
C. Machingura,Nganion,DF,Serious Magicians,27,1992,31.92,0,0.43,0.26,41.22,0.45,0.26,0.17,0.4,20.95,-0.03,0.07,0.05,0.11,-0.02,0.12,0.05,0.09,E,2020
G. Riva,Nganion,DF,Serious Magicians,24,1995,31.25,0.1,0.46,0.13,16.69,0.32,0.1,0.09,-0.01,13.86,0.04,-0.06,0.05,0,0.01,0.08,-0.14,-0.11,E,2020
L. Khonje,Nganion,DF,Serious Magicians,31,1988,6.35,0,0.45,-0.08,-0.07,0.46,0,-0.1,,28.82,-0.06,-0.03,0.08,0,0,0.05,-0.02,0.06,E,2020
P. Okoth,Nganion,DF,Serious Magicians,29,1990,31.62,0.15,1.17,0.34,25.67,1.12,0.27,0.09,0.14,23.79,-0.01,0.07,0.02,0.13,-0.06,0,0.07,-0.03,E,2020
V. Ang,Nganion,DF,Serious Magicians,28,1991,33.09,0.03,0.88,0.02,14.89,0.81,0.16,-0.01,0.35,14.92,0.16,0.02,0.09,-0.03,0.1,0.07,-0.04,0.07,E,2020
X. Ayugi,Nganion,DF,Serious Magicians,22,1997,17.45,0.08,0.42,0.13,37.54,0.46,0.18,0.09,0.1,11.45,-0.02,0.04,-0.03,-0.01,-0.07,0.14,-0.1,0,E,2020
P. Paterson,Nganion,DFFW,Serious Magicians,30,1989,5.98,0.07,0.12,-0.08,-0.08,0.14,-0.1,-0.05,,15.94,-0.03,-0.08,-0.06,0.08,0.11,0.16,0.02,0.06,E,2020
F. Nakalema,Nganion,FW,Serious Magicians,22,1997,15.95,-0.01,1.5,0.46,32.06,1.53,0.47,-0.01,0.17,18.28,-0.04,0.02,0,0.09,0.11,-0.01,0,-0.06,E,2020
G. Mussa,Nganion,FW,Serious Magicians,38,1981,2.2,0.44,2.62,1.26,50.07,2.63,1.37,0.09,0.39,13.98,-0.02,-0.04,0.41,0.49,0.26,0.1,-0.15,0.19,E,2020
H. Mancini,Nganion,FW,Serious Magicians,29,1989,7.62,-0.1,1.76,0.75,35.6,1.8,0.72,-0.04,-0.03,19.72,0.21,-0.08,0.05,0.22,0.22,0.05,-0.17,-0.08,E,2020
Z. Amito,Nganion,FW,Serious Magicians,21,1997,5.81,0.41,2.79,0.94,29.43,2.93,0.9,0.24,0.57,12.67,-0.08,0.02,0.08,0.4,0.46,0.25,0.12,0.04,E,2020
E. Mudzingwa,Rarita,FW,Serious Magicians,25,1994,32.69,0.17,1.3,0.62,46.61,1.43,0.69,0.1,0.22,15.16,0.1,-0.06,0,0.13,0.18,0.12,-0.03,0.01,E,2020
D. Jena,Nganion,FWDF,Serious Magicians,26,1993,6.97,-0.04,0.39,0.01,-0.01,0.41,-0.03,0.09,,17.95,-0.09,-0.1,-0.03,-0.04,0.02,0.06,-0.02,-0.02,E,2020
H. Kikuchi,Nganion,FWMF,Serious Magicians,21,1997,2.72,-0.04,0.99,0.44,33.31,1.06,0.35,0.01,0.03,20.41,0.05,0.07,0.02,0.09,0.03,0.05,-0.02,-0.14,E,2020
J. Maneno,Nganion,FWMF,Serious Magicians,26,1992,26.55,0.18,0.97,0.48,46.49,1.06,0.55,0.17,0.33,15.5,0.14,0.01,-0.07,0.15,0.21,0.23,0.02,-0.05,E,2020
W. Ofori,Unicorporated Tiagascar,FWMF,Serious Magicians,25,1993,4.02,0.29,1.06,0.45,50.07,0.98,0.5,0.33,0.53,24.97,0.29,0.06,-0.04,0.07,-0.01,0.01,0.28,0.12,E,2020
C. Musana,Nganion,GK,Serious Magicians,22,1997,33.26,0.07,-0.04,0.07,,0.04,-0.09,,,,-0.08,-0.03,-0.07,-0.1,-0.09,,-0.08,0.02,E,2020
R. Hall,Nganion,GK,Serious Magicians,31,1988,4.71,0.06,-0.04,0,,0.01,-0.04,,,,0.08,-0.05,-0.02,-0.02,0,,-0.04,0.01,E,2020
C. Luká?,Nganion,MF,Serious Magicians,23,1995,19.85,0.15,1.41,0.52,32.06,1.38,0.51,-0.04,0.17,27.06,0.29,-0.08,0.02,0.14,0.08,0.01,0.05,0.07,E,2020
D. De Jong,Nganion,MF,Serious Magicians,19,2000,8.28,0.05,1.04,0.64,55.62,1.11,0.68,0.1,0.15,16.27,0.02,0.04,0.02,0.14,0.12,0.01,0.08,0,E,2020
F. Sow,Nganion,MF,Serious Magicians,26,1993,14.14,0.05,0.95,0.3,21.48,0.92,0.29,-0.06,0.08,19.97,0.02,-0.05,-0.06,0.04,0.16,0.01,-0.05,-0.03,E,2020
I. Cheong,Nganion,MF,Serious Magicians,32,1987,4.33,0.03,1.21,0.43,39.91,1.14,0.48,0.07,0.1,26.22,-0.02,-0.09,-0.03,-0.05,-0.01,0.11,0.05,-0.03,E,2020
R. Chandia,Nganion,MF,Serious Magicians,29,1990,33.68,-0.02,0.38,0.02,-0.07,0.5,-0.04,0,,21.45,0.1,0.08,0.04,-0.03,0.03,0.12,-0.07,-0.09,E,2020
T. Vidmar,Nganion,MF,Serious Magicians,18,2000,0.78,0.04,1.23,0.07,0.09,1.21,-0.05,-0.08,,22.76,1.27,0.03,0.06,0.1,0.07,0.05,-0.06,-0.2,E,2020
X. Owori,Nganion,MF,Serious Magicians,30,1989,3.97,0.05,1.58,0.29,16.68,1.41,0.27,0.02,0.07,13.97,-0.06,-0.08,0.05,0.22,0.12,0.09,-0.22,-0.08,E,2020
F. Salifu,Nganion,MFFW,Serious Magicians,33,1986,31.9,0.37,2.39,0.78,35.96,2.32,0.95,0.11,0.27,18.77,-0.02,0.14,0.2,0.24,0.09,0.07,0.06,0.14,E,2020
D. Horn,Dosqaly,DF,Swift Bison,28,1991,7.56,-0.09,0.16,0.02,0,0.1,-0.08,-0.07,,8.09,0.07,-0.04,0.08,0.03,-0.04,0.07,0.03,-0.13,E,2020
H. Jovanovi?,Dosqaly,DF,Swift Bison,22,1996,15.98,0.08,-0.02,0.05,99.9,0.01,0.02,0.09,-0.09,11.34,0.08,0.1,-0.07,-0.01,0.05,0.07,0.01,0.03,E,2020
C. Najafi,Greri Landmoslands,DF,Swift Bison,20,1999,2.88,-0.01,0.28,-0.04,-0.07,0.26,-0.09,0,,27.64,0.06,-0.03,0.08,0.07,-0.09,-0.04,0.01,0.09,E,2020
N. Kasangaki,Imaar Vircoand,DF,Swift Bison,32,1986,15.91,0.07,0.42,0.14,42.96,0.49,0.12,-0.04,0.07,11.33,-0.1,-0.03,-0.01,-0.02,0.04,0.04,0,0.04,E,2020
E. Bukar,Lefghau,DF,Swift Bison,28,1990,31.03,0.04,0.23,0.14,24.99,0.25,0.05,0.19,0.53,9.06,0.03,-0.06,0.06,0.08,0.09,0.09,-0.05,-0.05,E,2020
A. Muller,Nganion,DF,Swift Bison,31,1988,15.42,-0.06,0.06,0,50.02,0.1,0.02,0.03,0.08,22.5,0.02,0.09,-0.06,0.06,0.08,-0.02,0.01,0.08,E,2020
E. Balog,Nganion,DF,Swift Bison,19,2000,5.43,0.01,0.08,0.07,,-0.08,0.04,,,,-0.01,0.06,-0.07,0.06,0.07,,-0.06,0.05,E,2020
H. Kajumba,Nganion,DF,Swift Bison,21,1998,1.4,0.02,0.03,-0.02,,-0.01,0.04,,,,-0.08,0.04,0.08,0.01,-0.09,,0.01,-0.05,E,2020
Q. Namazzi,Nganion,DF,Swift Bison,24,1995,22.15,-0.01,0.35,0.15,22.27,0.38,0.04,-0.1,-0.03,18.37,-0.03,0,0.07,0.08,-0.02,0.03,-0.05,-0.05,E,2020
R. Ueta,Sobianitedrucy,DF,Swift Bison,26,1992,0.89,0.09,1.25,0.08,-0.07,1.26,0.05,0.09,,8.08,0.09,-0.08,0.06,0.11,0.11,0.06,-0.03,-0.1,E,2020
T. Neves,Sobianitedrucy,DF,Swift Bison,28,1991,8.34,0.07,0.86,0.08,12.47,0.92,0.2,-0.07,-0.03,19.39,0,-0.02,-0.03,-0.05,-0.01,0.12,-0.05,-0.06,E,2020
C. Popescu,Mico,DFMF,Swift Bison,30,1989,30.49,-0.02,0.51,0.12,24.96,0.6,0.14,0.1,0.34,17.4,-0.09,0.01,0.04,0.05,-0.05,0,0.03,0,E,2020
N. bin Sulaiman,Dosqaly,FW,Swift Bison,32,1987,17.65,0.29,1.07,0.56,52.51,1.1,0.5,0.24,0.68,13.63,0.01,-0.03,0.07,0.31,0.25,0.16,0.02,0.13,E,2020
I. Kiiza,Janmico,FW,Swift Bison,22,1996,23.73,0.42,1.63,0.8,48.6,1.67,0.85,0.18,0.47,13.14,-0.03,-0.08,0.04,0.29,0.29,0.23,0.06,0.23,E,2020
Q. Fernandes,Nganion,FW,Swift Bison,28,1991,20.86,0.22,1.9,0.67,35.97,1.87,0.62,0.08,0.35,14.64,-0.09,0.02,0.04,0.22,0.3,0.06,-0.1,-0.12,E,2020
J. Elsayed,Nganion,FWMF,Swift Bison,27,1992,1.81,0.52,2.71,1.51,60.03,2.58,1.56,0.11,0.43,12.23,0,0.08,-0.02,0.19,0.24,0.05,0.29,0.35,E,2020
O. Nabunya,Byasier Pujan,GK,Swift Bison,30,1989,23.31,0.09,-0.02,-0.06,,0.06,-0.03,,,,-0.02,-0.07,-0.1,-0.07,-0.08,,-0.06,-0.05,E,2020
