"","Player","Nation","Pos","Squad","Age","Born","X90s","Gls","Standard.Sh","Standard.SoT","Standard.SoT.","Standard.Sh.90","Standard.SoT.90","Standard.G.Sh","Standard.G.SoT","Standard.Dist","Standard.FK","Performance.PK","Performance.PKatt","Expected.xG","Expected.npxG","Expected.npxG.Sh","Expected.G.xG","Expected.np.G.xG","X90s.1","Total.Cmp","Total.Att","Total.Cmp.","Total.TotDist","Total.PrgDist","Short.Cmp","Short.Att","Short.Cmp.","Medium.Cmp","Medium.Att","Medium.Cmp.","Long.Cmp","Long.Att","Long.Cmp.","Ast","xA","A.xA","X90s.2","Tackles.Tkl","Tackles.TklW","Tackles.Def.3rd","Tackles.Mid.3rd","Tackles.Att.3rd","Vs.Dribbles.Tkl","Vs.Dribbles.Att","Vs.Dribbles.Tkl.","Vs.Dribbles.Past","Pressures.Press","Pressures.Succ","Pressures..","Pressures.Def.3rd","Pressures.Mid.3rd","Pressures.Att.3rd","Blocks.Blocks","Blocks.Sh","Blocks.ShSv","Blocks.Pass","Int","Tkl.Int","Clr","Err","League","Year"
"2153","C. Vázquez","Nganion","MFFW","Mad Bees",21,1998,0.39,-0.06,2.46,-0.03,0.07,2.72,0.02,0.04,NA,22.71,2.46,0.08,0.03,0.32,0.19,0.12,-0.18,-0.23,0.47,34.92,44.91,77.89,527.54,237.57,17.43,17.4,99.92,15.04,17.51,85.77,2.47,10.05,25,0.08,0.21,-0.27,0.36,5.09,4.97,5.02,-0.02,-0.08,0.04,2.58,-0.08,2.47,62.4,14.98,23.91,20.07,30.08,12.56,2.49,2.41,0.02,-0.01,2.41,7.51,7.44,0.02,"E",2020
"2162","Y. Sen","Dosqaly","FW","Mad Kingsmen",31,1987,34.98,0.56,3.34,1.58,45.84,3.28,1.64,0.12,0.28,14.61,-0.03,0.14,0.1,0.4,0.3,0.21,0.11,0.02,34.85,32.14,38.14,84.21,484.17,86.58,19.29,21.68,88.98,8.77,10.32,84.2,2.67,3.36,80.61,0.25,0.16,0.07,34.97,0.55,0.33,0.15,0.17,0.17,0.25,0.68,27.9,0.43,9.24,2.46,26.01,0.62,3.83,4.61,0.39,0.1,-0.09,0.37,0.39,0.73,0.71,0.1,"E",2020
"2163","S. Costa","Lefghau","FW","Mad Kingsmen",18,2001,11.3,0.24,1.33,0.67,49.98,1.31,0.71,0.18,0.2,11.52,0.04,0.08,0.06,0.31,0.17,0.1,0.03,0.01,11.33,38.13,45.12,84.01,515.56,151.93,25.61,27.28,93.81,10.16,12.84,78.16,1.55,2.65,54.72,0.01,0.1,-0.12,11.25,0.38,0.39,0.13,0.4,0.08,0.24,1.87,9.94,1.6,16.16,3.78,23.6,2.97,8.07,5.14,1.42,0.23,0.09,1.25,0.8,1.09,0.54,-0.06,"E",2020
"2164","J. Atuhairwe","Morticre","FW","Mad Kingsmen",25,1993,0.47,1.92,9.92,3.95,40,10.03,3.91,0.21,0.48,11.59,-0.07,0.02,0.07,0.92,1.09,0.05,1.05,1,0.5,22.04,29.91,73.28,283.96,51.97,14.02,18.09,77.83,8.06,7.97,99.98,-0.07,1.92,0.09,0.02,0.09,-0.08,0.45,0.02,0.02,-0.05,0.03,0.04,0.09,1.96,0.01,1.93,28.06,6.02,21.42,3.97,15.95,8.06,2.01,0,0.03,1.94,-0.02,-0.01,0.02,0.02,"E",2020
"2165","C. Neri","Nganion","FW","Mad Kingsmen",23,1996,3.77,0.71,2.52,1.26,55.51,2.45,1.43,0.33,0.5,15.34,0.32,-0.1,0.08,0.37,0.44,0.22,0.45,0.39,3.79,36.24,44.07,82.11,624.98,121.91,20.74,23.08,90.66,10.21,13.78,74.6,4.33,6.02,72.75,0.31,0.18,-0.07,3.67,1.35,1.17,0.77,0.59,0.09,0.31,1.52,16.66,1.32,9.26,2.94,32.48,3.19,3.46,2.51,0.62,0.04,0.01,0.62,0.53,1.81,0.87,-0.03,"E",2020
"2166","F. Claes","Rosvi","FW","Mad Kingsmen",21,1997,4.73,0.37,2.5,0.61,25.05,2.54,0.64,0.12,0.69,12.49,0.09,-0.08,0,0.51,0.51,0.09,-0.09,0.06,4.79,23.08,27.86,82.89,322.4,41.8,15.62,17.7,88.28,5.29,6.68,78.07,1.76,1.99,79.92,0.3,0.15,0.07,4.72,0.61,0.38,0.03,0.51,0.3,-0.06,0.08,NA,-0.05,14.39,4.19,28.98,0.83,6.3,7.32,0.46,-0.01,-0.05,0.45,0.84,1.5,-0.06,0.09,"E",2020
"2167","Q. Ariko","Djipines","FWMF","Mad Kingsmen",30,1989,12.19,0.18,2.76,1.01,38.21,2.9,1.15,0.14,0.1,17.38,0.24,0.07,-0.02,0.37,0.23,0.16,-0.18,-0.13,12.01,29.78,39.63,74.97,524.96,130.32,15.9,18.19,87.73,9.83,12.76,77.99,3.6,7.43,48.28,0.25,0.17,0.13,12.1,0.79,0.62,0.34,0.08,0.19,0.26,1.33,24.9,1.04,8.72,2.53,28.69,1.74,3.92,3.15,1.27,0.23,-0.06,1.2,0.27,1.08,0.79,-0.03,"E",2020
"2168","M. Kneževi?","Lefghau","FWMF","Mad Kingsmen",19,2000,15.11,0.23,2.48,1.12,40.99,2.49,1.03,0.01,0.19,14.34,0.03,-0.02,0,0.19,0.19,0.09,-0.04,-0.03,15.19,27.64,35.84,77.39,403.9,77.94,17,19.58,86.71,8.24,10.05,80.5,1.63,2.7,61.08,0.13,0.17,-0.03,15.17,1.88,1.09,0.72,0.86,0.36,0.39,1.62,19.23,1.37,19.74,5.8,29.46,5.12,8.95,5.58,1.17,-0.08,-0.04,1.18,0.29,1.89,-0.1,0.07,"E",2020
"2169","D. Ocokoru","Nganion","FWMF","Mad Kingsmen",27,1992,13.12,0,1.72,0.99,56.43,1.83,0.94,0.03,0.04,17.84,0.15,0.01,0.02,0.09,0.09,-0.02,-0.02,-0.05,13.08,56.16,65.31,85.95,918.55,217.9,30.15,31.56,95.98,18.21,21.2,86.37,5.82,8.53,68.41,0.1,0.08,0.07,13.16,1.02,0.62,0.15,0.78,0.09,0.27,0.9,33.32,0.56,14.82,3.52,23.08,2.84,8.28,3.64,1.22,0.11,-0.03,1.15,0.48,1.52,0.21,0,"E",2020
"2170","P. Villa","Nganion","FWMF","Mad Kingsmen",19,1999,0.69,-0.06,4.38,2.78,66.69,4.24,2.72,-0.05,-0.03,15.48,-0.02,-0.09,0.03,0.5,0.49,0.13,-0.49,-0.48,0.68,50.02,57.12,87.5,674.37,167.13,37.13,41.46,89.67,10.04,9.93,100.04,2.79,2.95,100.06,0.02,0.01,-0.08,0.76,1.41,1.39,0.06,1.4,0.06,0,0.04,NA,-0.08,20.05,2.89,14.38,5.72,8.54,5.63,1.43,0.03,0,1.44,2.81,4.22,-0.09,-0.08,"E",2020
"2171","N. Utami","Southern Ristan","FWMF","Mad Kingsmen",28,1991,12.07,0.12,1.58,1.25,73.69,1.5,1.07,-0.05,0.08,16.35,-0.03,-0.05,-0.01,0.23,0.11,0.07,-0.09,-0.16,11.96,43.47,50.82,85.34,669.54,147.54,27,30.05,89.78,11.82,13.31,88.78,3.83,4.5,83.23,0.22,0.2,-0.02,12.06,0.75,0.49,0.1,0.49,0.31,0.22,1.16,23.02,0.93,9.92,2.84,28.23,1.97,4.6,3.64,0.68,-0.06,0.04,0.79,0.85,1.59,-0.02,0,"E",2020
"2179","G. Yunusa","Nganion","MFFW","Mad Kingsmen",28,1991,9.38,0.16,1.08,0.33,29.97,1.14,0.32,0.25,0.64,17.12,-0.04,-0.08,-0.07,0.07,0.04,0.19,0.05,0.18,9.36,49.44,61.95,79.74,785.89,232.01,28.49,31.83,89.38,16.35,20.43,79.72,4.16,7.42,56.41,0.04,0.21,0.02,9.46,2.13,1.63,0.76,1.27,0.21,0.93,2.79,34.57,1.79,25.01,8.67,34.38,7.04,11.84,6.33,1.58,0.02,0.08,1.45,0.82,3.13,0.53,0.19,"E",2020
"2191","B. Yang","Manlisgamncent","FW","Mighty Jimmies",28,1991,30.75,0.47,1.71,0.64,37,1.69,0.71,0.22,0.64,11.96,0.09,-0.02,0.09,0.28,0.32,0.07,0.16,0.12,30.79,12.4,19.07,65.23,147.72,26.41,7.94,10.86,72.99,2.76,4.94,57.94,0.35,0.93,36.91,0.09,-0.02,0.12,30.78,1.06,0.77,0.12,0.72,0.28,0.09,0.55,15.87,0.57,15.54,3.57,23.52,1.38,8.02,6.08,0.75,0.39,-0.06,0.4,0.08,1.01,0.72,0.08,"E",2020
"2192","L. Costa","Imaar Vircoand","FWMF","Mighty Jimmies",31,1988,2.27,-0.05,2.09,0.07,-0.07,2.22,-0.03,0.08,NA,12.05,-0.01,0.08,-0.06,0.16,0.13,0.16,-0.29,-0.13,2.24,17.39,27.44,63.59,214.79,39.6,10.45,14.32,72.65,4.88,7.88,61.05,0.47,1.68,24.92,0.09,0.25,-0.25,2.38,0.97,0.45,0.4,0.36,0.06,0.01,0.83,-0.04,0.87,29.93,4.38,14.46,7.82,9.63,12.65,1.27,0.43,0.04,0.91,-0.02,0.88,0.85,0.04,"E",2020
"2193","U. Okidi","Nganion","FWMF","Mighty Jimmies",26,1992,1.22,-0.04,0.02,0,NA,-0.05,0,NA,NA,NA,-0.02,-0.06,0.05,0.03,0.02,NA,-0.08,-0.01,1.24,19.22,29.21,65.79,274.3,34.15,11.7,19.28,60.88,3.31,4.12,80.05,2.52,3.34,74.9,0.1,0.05,0.03,1.12,0.88,0.07,0.05,0.89,-0.05,-0.02,0.05,NA,0,17.45,4.96,28.54,0.81,6.63,9.98,0.88,0.05,0.07,0.78,0.88,1.74,0.08,-0.06,"E",2020
"2194","Y. Hodži?","Nganion","FWMF","Mighty Jimmies",26,1992,3.13,0.01,2.9,1.21,44.49,2.9,1.27,0.04,0.09,16.33,-0.05,-0.04,0.3,0.53,0.1,0.07,-0.41,-0.28,3.2,14.78,23.47,63.07,243.53,46.7,9.11,10.66,84.73,2.93,5.74,49.92,2.28,3.8,58.31,0.03,-0.07,-0.12,3.09,0.59,-0.03,0.05,0.27,0.36,0.06,0.92,0.04,1.02,15.83,5.21,32.69,0.99,7.82,7.13,0.06,-0.06,-0.08,0.03,-0.04,0.55,0,-0.09,"E",2020
"2195","G. Nakasi","Western Niasland","FWMF","Mighty Jimmies",20,1999,16.58,0.38,2.78,0.95,31.19,2.66,0.87,0.05,0.39,16.13,0.07,-0.03,0.06,0.24,0.22,0.03,0.07,0.08,16.54,19.07,27.25,70.33,291.59,75.13,11.2,15.07,74.99,4.96,6.65,74.3,1.96,3.02,60.74,0.01,0.1,0.05,16.41,1.15,0.75,0.53,0.49,0.16,0.16,0.82,26.67,0.69,15.67,3.75,23.62,3.43,7.17,4.89,1.28,0.21,0,1.07,0.6,1.62,0.95,0.07,"E",2020
"2207","E. Rossetti","Central Diasongo","MFFW","Mighty Jimmies",28,1990,24.27,0.09,1.59,0.3,21.11,1.63,0.3,0.02,0.17,17.58,0.07,0.03,0.04,0.19,0.21,0.01,-0.03,-0.08,24.34,21.54,29.93,72.15,313.02,87.03,13.37,15.69,84.83,6.33,8.66,73.09,1.18,3.03,37.57,0.01,0.06,-0.04,24.3,1.34,0.84,0.66,0.34,0.28,0.53,1.27,35.58,0.74,16.49,3.79,23.65,4.36,7.34,4.68,1.53,0.26,0.05,1.23,0.62,1.85,0.82,0.08,"E",2020
"2208","X. Kyosimire","Dosqaly","MFFW","Mighty Jimmies",28,1991,0.96,-0.09,1.12,-0.08,0.03,1.02,-0.02,-0.1,NA,33.95,1.04,-0.02,-0.01,0.09,0.04,-0.02,-0.02,0.1,0.86,40.02,46.7,85.65,516.79,172.25,25.59,28.86,88.49,13.39,14.44,92.29,-0.01,2.27,-0.09,0.09,0.2,-0.14,0.89,0.07,0.06,-0.09,-0.08,-0.08,-0.03,1.16,0.08,1.1,13.36,4.34,33.24,1.12,8.85,3.36,1.04,-0.06,0.08,1.1,1.14,1.09,2.18,-0.1,"E",2020
"2209","T. Mendes","Lylimi","MFFW","Mighty Jimmies",18,2001,25.76,0.16,2.13,0.95,46.21,2.09,0.92,0.06,0.09,19.77,0.28,-0.02,0.07,0.11,0.2,0.03,0.13,0.02,25.78,20.95,29.7,70.6,330.55,99.71,11.18,13.59,81.4,8.05,10.58,76.02,1.32,3.18,40.59,0.08,0.15,0.03,25.63,1.29,0.98,0.69,0.45,0.18,0.59,1.88,32,1.37,19.14,4.88,25.68,5.07,9.25,4.86,1.24,0.09,0.05,1.31,0.74,2.12,0.47,-0.07,"E",2020
"2210","B. Chau","Nganion","MFFW","Mighty Jimmies",31,1988,33.72,0.07,1.45,0.37,21.16,1.5,0.38,0.02,0.37,20.17,0.01,-0.05,0.01,0.2,0.06,0.03,-0.03,0.1,33.86,27.91,34.32,81.35,503.38,129.41,12.94,14.5,88.98,10.1,11.71,86.29,3.61,5.95,62.07,-0.04,-0.02,-0.01,33.73,1.81,1.14,0.81,0.78,0.28,0.43,1.6,25.83,1.11,22.54,5.84,26.04,5.54,11.59,5.38,1.43,0.12,-0.02,1.37,0.63,2.43,1.05,0.07,"E",2020
"2211","N. Brouwer","Nganion","MFFW","Mighty Jimmies",30,1988,0.46,-0.01,2.6,2.44,99.92,2.43,2.53,0.07,0.02,20.28,-0.08,-0.01,-0.09,-0.02,-0.02,-0.04,0.02,0.06,0.31,22.52,27.6,81.76,464.96,97.54,7.48,7.43,100,15.09,17.56,85.6,0.08,-0.07,NA,-0.07,0.06,-0.05,0.35,2.56,2.57,2.53,0.01,-0.09,-0.09,0.05,NA,-0.05,12.59,2.52,19.93,-0.03,5.01,7.47,5.01,0.1,-0.05,4.95,-0.03,2.6,0,0.1,"E",2020
"2222","F. Adriko","Lefghau","FW","Orange Giants",35,1984,14.41,0.51,1.63,0.7,39.09,1.59,0.65,0.13,0.6,14.14,0.06,0.12,0.07,0.36,0.11,0.07,0.03,0.15,14.4,16.33,24,68.48,223.46,28.59,9.6,13.49,71.02,5.05,7.3,68.61,0.73,0.99,66.62,0,0.11,0.02,14.41,0.91,0.47,0.05,0.55,0.26,0.23,0.93,15.34,0.67,15.7,3.52,22.88,0.68,6.94,7.9,0.83,0.25,-0.01,0.63,0.22,1.19,0.45,-0.06,"E",2020
"2223","F. Jee","Nganion","FW","Orange Giants",29,1990,5.32,-0.02,1.69,0.27,11.15,1.61,0.26,0.06,0.06,18.23,-0.07,0.04,0.07,0.14,0.17,-0.01,-0.04,-0.2,5.38,16.23,23.01,71,249.01,50.89,8.75,11.2,77.05,5.53,8.26,66.69,1.17,1.88,59.97,0.26,0.09,0.08,5.34,0.46,0.4,0.11,0.29,0.06,0.02,0.4,-0.01,0.32,21.38,8.92,41.68,1.21,6.35,13.69,1.36,0.2,-0.04,1.09,0.24,0.54,0.76,0.05,"E",2020
"2224","R. Nuwagaba","Nganion","FW","Orange Giants",29,1989,19.67,0.19,2.93,0.9,31.7,2.85,0.84,0.11,0.21,13.02,-0.03,0.02,0.06,0.41,0.32,0.03,-0.09,-0.07,19.5,16.75,24.8,67.11,228.85,37.41,10.29,13.21,77.97,4.9,7.43,65.85,0.64,1.75,30.51,0.09,-0.04,0.03,19.53,0.48,0.21,0.1,0.22,0.25,0.25,0.7,33.27,0.46,16.53,5.02,30.03,1.11,5.73,9.75,0.82,0.15,-0.08,0.7,0.06,0.75,0.45,-0.01,"E",2020
"2225","T. Sommer","Nganion","FW","Orange Giants",29,1990,20.78,0.07,1.39,0.24,20.02,1.51,0.38,0.02,0.2,10.22,-0.09,0,0.02,0.07,0.12,0.01,-0.02,-0.07,20.63,18.21,25.5,71.48,252.88,35.09,11.77,14.82,79.72,4.38,6.8,64.35,1.26,1.79,68.67,0.22,0.11,0.17,20.67,1.07,0.91,0.25,0.4,0.3,0.1,0.65,-0.05,0.58,21.47,6.68,30.7,1.25,8.43,11.98,1.36,0.22,-0.07,1.27,0.33,1.31,0.58,0.03,"E",2020
"2235","X. Sung","Lylimi","MFFW","Orange Giants",31,1988,21.84,0.17,1.83,0.46,28.83,1.67,0.43,-0.04,0.17,19.62,-0.04,0.07,-0.01,0.23,0.18,0.19,-0.03,0,21.8,20.07,27.09,73.75,319,66.59,11.38,13.65,83.14,7.04,9.47,73.07,1.25,2.9,46.8,0.12,0.07,0.11,21.72,1.32,0.78,0.44,0.63,0.26,0.57,1.84,26.29,1.34,18.82,4.68,24.51,3.93,8.86,6.2,1.42,0.18,-0.04,1.19,0.53,1.8,0.57,-0.04,"E",2020
"2236","N. Niwagaba","Nganion","MFFW","Orange Giants",32,1986,21.14,0.14,1.86,0.63,36.75,1.87,0.71,0.03,-0.02,20.05,0.18,-0.06,0.09,0.21,0.23,0.18,-0.08,-0.17,21.09,19.66,34.1,58.09,356.39,131.9,9.91,12.83,77.06,6.1,9.66,63.6,3.03,9.29,32.88,0.05,0.27,-0.1,21.03,1.35,0.65,0.66,0.37,0.32,0.29,1.07,31.81,0.77,18.15,4.79,26.62,3.24,8.76,6.07,1.44,0.07,0.01,1.46,0.61,1.87,0.61,-0.1,"E",2020
"2237","V. Nakiyemba","Northern Namemo Laand","MFFW","Orange Giants",33,1986,26.66,0.38,1.53,0.65,42.12,1.34,0.54,0.05,0.26,18.77,0.06,0.12,0.16,0.22,0.16,0.14,0.02,0.1,26.52,28.92,39.85,72.65,525.96,124.03,14.42,17.12,84.67,10.03,13.22,75.98,3.96,7.27,53.88,0.24,0.26,0.14,26.52,1.34,0.79,0.4,0.37,0.59,0.46,1.93,20.86,1.65,14.47,3.85,26.43,2.03,5.63,6.54,0.93,-0.03,-0.07,1.01,0.66,2.04,0.03,0,"E",2020
"2246","F. Got?","Central Namemo Laand","FW","Plane Janes",26,1992,10.94,0.49,3.47,1.67,46.23,3.45,1.71,0.13,0.36,13.33,-0.05,0.05,0.05,0.71,0.68,0.1,-0.09,-0.11,10.95,16.21,20.83,77.44,267.26,21.37,9.13,11.62,78.82,5.55,6.82,81.13,1.43,1.52,88.22,0.15,0.05,0.01,11.1,0.26,0.21,0.01,0.16,0.37,0,0.4,24.93,0.2,16.01,5.13,31.55,1.19,7.88,7.07,-0.01,-0.05,0.05,0.09,0.31,0.68,0.42,0.04,"E",2020
"2247","S. Wahab","Nganion","FW","Plane Janes",18,2000,0.91,1.17,1.2,1.18,99.93,1.14,1.15,0.9,1.05,17.05,-0.01,0.03,-0.05,0.28,0.41,0.31,0.77,0.83,0.81,14.44,23.27,61.97,147.77,10.05,10.03,13.38,75.09,2.31,7.7,28.7,0.04,-0.01,NA,0.02,-0.02,-0.1,0.88,3.34,1.19,0.07,3.37,0.04,0.06,1.2,0.09,1.07,15.66,4.44,28.51,-0.01,8.88,6.69,-0.06,-0.04,0.07,-0.02,0.02,3.24,2.19,0.04,"E",2020
"2248","Q. Hämäläinen","Rarita","FW","Plane Janes",25,1993,10.3,0.37,2.4,0.75,32.06,2.52,0.73,0.1,0.55,16.31,0.12,-0.08,-0.07,0.26,0.25,0.14,0.12,0.03,10.22,17.64,22.23,78.62,249.98,36.01,10.88,12.86,84.2,5.33,6.44,81.74,0.91,1.64,52.81,0.17,0.16,-0.13,10.27,0.32,0.27,0.27,0.24,-0.07,0.16,1.13,8.27,1.02,14.21,4.24,29.42,1.66,6.42,5.94,0.97,0.21,0,0.74,0.16,0.54,0.95,0.01,"E",2020
"2249","G. Musoke","Nganion","FWMF","Plane Janes",21,1997,9.84,0.28,5.03,1.9,36.79,4.88,1.77,0.1,0.02,24.64,0.92,0.01,0.04,0.22,0.21,0.08,0.05,-0.1,9.81,37.21,48.44,76.73,619.28,159.1,20.28,22.98,88.41,13.12,16,83.39,3.17,6.6,47,0.04,0.13,-0.11,9.98,3.51,2.16,1.34,1.96,0.08,0.73,3.87,18.4,3.13,27.36,6.8,25.18,9.19,12.32,5.57,1.49,0,-0.09,1.32,0.6,3.98,0.7,-0.09,"E",2020
"2250","J. Chou","Nganion","FWMF","Plane Janes",27,1992,30.45,0.68,2.89,1.01,37.59,2.88,1.1,0.13,0.44,13.87,0.04,0.05,0.04,0.37,0.41,0.21,0.16,0.18,30.41,24.42,33.67,72.29,472.53,109.21,11.02,13.65,80.73,8.53,11.39,75.8,4.14,6.58,62.71,0.24,0.32,-0.09,30.47,0.56,0.55,0.11,0.4,0.12,0.27,1.47,14.62,1.32,12.83,3.05,22.94,1.86,7.08,3.79,1.06,0.16,-0.03,0.77,0.18,0.9,1.51,-0.04,"E",2020
"2251","J. Munguambe","Nganion","FWMF","Plane Janes",25,1994,25.89,0.14,1.45,0.49,37.7,1.48,0.45,0.17,0.33,21,0.13,0.03,-0.07,0.22,0.09,0.08,0.09,0.11,25.83,35.72,43.96,81.17,617.08,149.14,17.76,19.75,90.12,13.1,15.03,87.43,3.82,6.69,56.68,0.11,0.17,0,25.71,0.99,0.71,0.53,0.29,0.29,0.41,1.1,30.77,0.64,16.46,4.51,27.46,4,8.72,3.86,2.06,0.03,-0.02,1.96,0.81,1.83,0.68,0.11,"E",2020
"2252","S. Kofi","Western Niasland","FWMF","Plane Janes",32,1986,7.7,0.27,2.28,0.86,35.32,2.26,0.86,0.17,0.33,13.64,-0.02,0.01,0.03,0.36,0.44,0.14,-0.21,-0.12,7.56,13.29,17.43,75.87,204.56,16.47,8.41,9.8,86.55,3.65,5.07,71.71,1.25,1.78,69.28,0.22,0.02,0.01,7.51,0.43,0.11,0.11,-0.07,0.25,0.14,0.93,14.27,0.86,11.15,2.78,24.97,1.41,4.79,4.94,0.74,-0.07,-0.09,0.66,0.17,0.48,0.58,-0.09,"E",2020
"2261","Q. Lavyan","Nganion","MFFW","Plane Janes",20,1999,2.89,-0.07,0.09,-0.02,NA,0.09,0.06,NA,NA,NA,0.02,0.02,-0.01,-0.1,-0.06,NA,-0.06,0.02,2.78,63.21,68.62,92.17,1200.07,353.81,23.61,24.25,97.14,32.14,34.38,93.79,6.45,8.58,74.91,0.29,0.2,0.16,2.78,2.1,1.86,1.48,0.8,-0.03,0.77,2.16,33.37,1.4,23.61,6.01,25.7,7.41,13.62,2.42,0.29,-0.04,-0.06,0.39,0.74,2.94,0.66,-0.02,"E",2020
"2262","G. Mlakar","Republic of Denand Landsa","MFFW","Plane Janes",20,1999,22.82,0.13,2.28,0.48,21.91,2.27,0.55,-0.01,0.28,17.81,-0.01,0.03,0.06,0.16,0.23,0.11,-0.07,0.01,22.76,24.28,32.82,73.63,454.31,117.69,10.26,12.6,81.74,10.03,12.84,78.13,3.45,5.35,64.46,0.17,0.16,-0.07,22.82,0.86,0.57,0.29,0.27,0.23,0.23,0.88,33.29,0.56,15.21,4.3,28.05,3.35,6.79,5.1,1.25,0.09,-0.08,1.23,0.44,1.21,0.44,0.06,"E",2020
"2272","B. Lindberg","Rosvi","DFFW","Polar Kangaroos",21,1997,0.19,0.07,9.96,-0.02,0.01,14.98,-0.1,-0.07,NA,8.53,0.01,-0.09,0.02,0.93,1.04,0.04,-1.03,-0.97,0.01,0.01,19.98,0.01,-0.03,-0.06,0.07,-0.08,NA,0,9.96,-0.08,-0.08,9.96,0.06,0.03,0.1,-0.08,0.08,0.01,-0.07,-0.1,0.07,-0.08,0.07,0.02,NA,-0.02,20.09,10.04,50.01,-0.08,10.03,10.04,-0.04,-0.07,0.03,0.03,-0.08,0.09,0.09,-0.03,"E",2020
"2273","G. Owusu","Nganion","FW","Polar Kangaroos",26,1992,23.39,0.45,2.84,1.18,42.28,2.7,1.12,0.23,0.36,12.02,0.07,0.05,0.1,0.52,0.44,0.13,-0.12,-0.05,23.38,14.46,21.56,66.8,193.24,39.45,8.33,12.09,69.21,4.12,5.96,70.01,0.47,1.2,48.1,0.04,0.24,0.01,23.3,0.82,0.69,0.24,0.29,0.17,0.09,0.46,18.11,0.32,14.19,3.64,25.83,1.63,6.5,5.9,0.65,0.2,0.03,0.65,0.21,1.09,1.13,-0.04,"E",2020
"2274","K. Mirza","Nganion","FW","Polar Kangaroos",18,2001,0.24,0,-0.09,-0.09,NA,0.09,-0.08,NA,NA,NA,-0.02,0.07,-0.08,0.08,-0.03,NA,0.01,0.01,0.32,6.74,16.66,40.09,116.66,36.71,3.27,9.98,33.35,3.41,3.35,100.04,0.05,3.4,0.07,0.09,0.01,0.08,0.37,3.39,3.39,-0.02,3.26,-0.08,0.08,0.05,NA,0.08,13.39,-0.09,-0.09,0.1,13.28,-0.04,0.01,0.06,-0.01,-0.03,-0.04,3.24,0.03,-0.07,"E",2020
"2275","R. Baidoo","Nganion","FW","Polar Kangaroos",22,1997,0.04,-0.04,10.02,-0.01,0.05,11.32,-0.03,-0.09,NA,5.96,-0.09,-0.08,-0.04,1.05,0.97,0.16,-1,-0.99,0.08,30.05,39.91,75.07,300.07,0.03,19.99,19.93,100,10.05,20,50.06,0.01,0.05,NA,-0.07,-0.05,-0.09,0.1,0.04,0,-0.03,0.04,0.06,0,-0.02,NA,-0.02,30.07,19.91,66.78,-0.01,29.98,-0.08,-0.07,-0.01,-0.07,-0.01,-0.02,0.03,0.07,-0.08,"E",2020
"2276","V. Hou","Nganion","FW","Polar Kangaroos",17,2002,0.08,-0.09,-0.06,0.07,NA,0.03,0.01,NA,NA,NA,-0.09,0.08,-0.03,0.06,0.05,NA,0.04,-0.03,-0.02,1.07,2.03,50.02,5.98,-0.06,0.9,1.97,50.03,0.04,-0.06,NA,-0.01,-0.01,NA,0.07,0.03,-0.02,-0.09,0.1,0.06,-0.06,-0.03,0.08,0.02,-0.06,NA,0,1.94,1.97,100.07,0.04,2.02,0.1,-0.01,0.07,0,0.01,-0.04,-0.08,-0.09,0.1,"E",2020
"2277","X. Mubiru","Nganion","FW","Polar Kangaroos",30,1988,15.01,0.38,2.25,0.53,24.18,2.25,0.59,0.11,0.45,11.43,0.01,0.04,0.28,0.47,0.36,0.15,-0.2,-0.02,15.1,17.22,24.43,71.09,263.09,46.31,9.91,13.11,75.8,5.38,6.98,77.83,1.27,1.87,66.71,0.27,0.21,0.11,15.07,0.64,0.59,0.23,0.26,0.22,0.06,0.76,19.99,0.6,13.3,3.95,29.46,1.22,6.33,5.86,0.9,0.18,-0.06,0.68,0.17,0.82,0.81,-0.04,"E",2020
"2278","D. Groß","Greri Landmoslands","FWMF","Polar Kangaroos",19,1999,19.44,0.38,3.31,0.89,28.07,3.22,1,0.02,0.27,18.27,0.01,-0.06,-0.09,0.42,0.37,0.12,-0.02,-0.07,19.36,21.08,27.45,77.23,300.48,82.71,13.01,14.8,88.23,6.05,8.24,74.46,1.05,2.12,47.52,0.12,0.06,0.01,19.42,0.49,0.26,0.01,0.11,0.24,0.06,0.71,0.01,0.75,10.96,2.43,22.27,1.22,6.37,3.4,0.53,0.09,0.01,0.59,0.12,0.56,0.5,-0.08,"E",2020
"2289","B. Abubakar","Imaar Vircoand","MFFW","Polar Kangaroos",24,1995,22.99,0.18,1.9,0.78,38.65,2,0.7,0.15,0.29,15.2,0.07,-0.09,-0.02,0.34,0.24,0.07,0.01,-0.11,22.9,19.71,26.23,75.31,272.86,66.87,12.27,14.43,83.81,5.14,7.13,73.51,1.3,2.58,49.06,0.18,0.26,0.07,22.86,0.99,0.69,0.31,0.18,0.51,0.32,1.69,14.95,1.5,17.97,5.47,29.92,3,8.24,6.5,1.74,0.32,0.03,1.43,0.6,1.53,0.9,-0.07,"E",2020
"2290","J. Khoh","Nganion","MFFW","Polar Kangaroos",24,1995,15.23,0.1,1.01,0.33,35.79,0.94,0.34,0.26,0.57,17.12,-0.08,0.02,-0.01,0.22,0.17,0.04,0.1,0.16,15.18,25.93,33.5,77.88,410.08,107.43,13.3,15.95,84.18,9.49,11.23,83.58,2.03,3.31,62.05,0.14,0.13,0.04,15.12,2.15,1.49,0.62,1.15,0.33,0.62,1.7,30.81,1.21,20.2,6.46,31.61,3.77,10.99,5.58,1.9,0.37,-0.08,1.55,0.42,2.55,1.01,0.04,"E",2020
