"","Player","Nation","Pos","Squad","Age","Born","X90s","Gls","Standard.Sh","Standard.SoT","Standard.SoT.","Standard.Sh.90","Standard.SoT.90","Standard.G.Sh","Standard.G.SoT","Standard.Dist","Standard.FK","Performance.PK","Performance.PKatt","Expected.xG","Expected.npxG","Expected.npxG.Sh","Expected.G.xG","Expected.np.G.xG","X90s.1","Total.Cmp","Total.Att","Total.Cmp.","Total.TotDist","Total.PrgDist","Short.Cmp","Short.Att","Short.Cmp.","Medium.Cmp","Medium.Att","Medium.Cmp.","Long.Cmp","Long.Att","Long.Cmp.","Ast","xA","A.xA","X90s.2","Tackles.Tkl","Tackles.TklW","Tackles.Def.3rd","Tackles.Mid.3rd","Tackles.Att.3rd","Vs.Dribbles.Tkl","Vs.Dribbles.Att","Vs.Dribbles.Tkl.","Vs.Dribbles.Past","Pressures.Press","Pressures.Succ","Pressures..","Pressures.Def.3rd","Pressures.Mid.3rd","Pressures.Att.3rd","Blocks.Blocks","Blocks.Sh","Blocks.ShSv","Blocks.Pass","Int","Tkl.Int","Clr","Err","Playing.Time.MP","Playing.Time.Starts","Playing.Time.Min","Playing.Time.90s","Performance.GA","Performance.GA90","Performance.SoTA","Performance.Saves","Performance.Save.","W","D","L","Performance.CS","Performance.CS.","Performance.PKatt","Penalty.Kicks.PKA","Penalty.Kicks.PKsv","Penalty.Kicks.PKm","Penalty.Kicks.Save.","League","Year"
"2832","P. Kabugo","People's Land of Maneau","GK","Green Fleet",23,1997,12.54,-0.04,-0.01,-0.06,NA,0.06,0.05,NA,NA,NA,0.07,0.01,0,-0.04,0.05,NA,0.03,0.04,12.4,18.88,25.15,75.27,481.75,270.03,4.74,4.72,100,9.1,9.02,100.07,4.98,11.1,44.53,0,0.09,-0.05,12.53,-0.02,-0.1,0.05,0.1,-0.04,-0.04,0.15,-0.06,0.06,0.29,0.17,24.93,0.36,0.09,0.07,0.09,0.06,0.06,0.07,0.04,-0.06,-0.04,0.09,13.04,12.03,1124.96,12.53,1.05,1.03,4.01,3.13,75.99,0.74,0.21,0.13,0.27,33.23,-0.01,0.01,0.07,0.05,NA,"A",2021
"2857","E. Wibowo","Coastpa Barleslands","GK","Horrible Grizzlies",28,1992,30.58,0.01,0.08,-0.05,NA,0.05,-0.06,NA,NA,NA,-0.08,-0.07,-0.07,-0.02,0.01,NA,-0.09,-0.02,30.46,27.81,33.07,84.57,682.09,338.03,6.92,6.9,99.07,13.71,13.82,99.31,7.04,12.05,59.08,0.08,-0.03,-0.01,30.45,-0.04,0.07,-0.04,0.01,0.02,-0.07,0.01,0.1,0.09,0.05,0.02,0.03,0.1,-0.04,-0.04,-0.04,0.09,0,0.06,0.09,0.09,0.01,-0.01,31.07,30.95,2745.03,30.53,0.77,0.77,2.62,1.71,70.55,0.61,0.27,0.32,0.61,51.67,0.16,0.12,0.13,-0.08,33.26,"A",2021
"2858","R. Wanyama","Imaar Vircoand","GK","Horrible Grizzlies",38,1981,1.07,0.03,0.03,0.05,NA,0.04,-0.09,NA,NA,NA,0.04,-0.01,-0.08,0.09,0.09,NA,-0.04,-0.08,0.98,23.96,26,92.37,496.08,301.9,8.1,8.06,99.99,13.07,12.93,100.03,3.04,5.08,59.97,-0.09,0.03,-0.05,0.94,-0.08,-0.06,-0.07,0.1,-0.07,0.02,0.07,NA,0.03,-0.06,-0.06,NA,-0.08,-0.06,-0.06,0.07,0.08,0.05,0.01,0.06,-0.08,0.05,-0.09,1.01,1.05,90.09,1.05,3.09,3,3.04,0.09,0.03,-0.04,0.97,0.06,-0.07,0,0.05,0.09,0.05,0.03,NA,"A",2021
"2859","J. Nkrumah","Nganion","GK","Horrible Grizzlies",25,1994,6.43,0.1,0.05,-0.02,NA,0.01,0.07,NA,NA,NA,0.03,-0.06,-0.02,-0.06,0,NA,-0.07,-0.1,6.59,30.58,37.35,81.47,801.48,403.32,7.61,7.89,96.06,13.7,13.68,99.91,9.22,15.82,58.39,0.01,0.02,-0.03,6.53,0,-0.05,0.08,-0.08,0.02,-0.06,0.08,0.06,0.09,0.38,-0.09,0.09,0.37,0.09,-0.09,0.09,0.06,-0.01,-0.09,-0.04,-0.06,-0.02,0.58,6.97,6.08,585.03,6.47,1.18,1.17,3.46,2.38,68.29,0.38,0.24,0.35,0.34,33.23,0.11,0.23,0.08,0.09,-0.08,"A",2021
"2882","S. Tamale","Imaar Vircoand","GK","Horrible Storm",27,1992,38.09,-0.07,-0.06,0.02,NA,0.09,-0.04,NA,NA,NA,-0.06,0.06,-0.08,0.01,-0.08,NA,0.07,0.09,37.92,22.24,34.19,65.61,763.17,496.71,2.74,2.83,99.98,10.27,10.22,99.76,9.38,20.99,44.32,-0.07,0.06,-0.03,37.92,0.02,0.05,-0.06,-0.07,-0.08,-0.1,-0.02,0.1,0.05,0.19,0.02,16.63,0.07,0.08,-0.09,0.07,0.07,0.1,-0.06,-0.09,0.07,-0.04,0.02,37.97,37.91,3420.06,38.05,1.28,1.14,4.6,3.52,76.79,0.34,0.15,0.48,0.34,39.47,0.2,0.16,0.03,0.07,16.64,"A",2021
"2910","Z. Marini","Central Republic of Boekrainego","GK","Mighty Jays",28,1992,2.99,0.06,-0.05,0.01,NA,-0.07,-0.06,NA,NA,NA,0,0.03,0.01,0.06,-0.08,NA,0.04,0.04,2.98,20.77,22.3,92.44,511.63,264.65,4.38,4.41,99.95,10.62,10.73,99.9,5.42,6.97,76.18,-0.07,-0.05,-0.06,2.97,0.08,0.1,-0.06,-0.07,-0.02,-0.03,-0.03,NA,0.06,-0.04,0.08,NA,-0.01,0.07,0.09,0.05,0.08,0.07,0.01,-0.07,-0.06,0.01,-0.07,37.07,36.93,3330,36.96,1.48,1.46,4.87,3.47,71.05,0.51,0.34,0.23,0.16,18.8,0.08,0.13,-0.05,0.07,19.92,"A",2021
"2911","X. Adikini","Cuandbo","GK","Mighty Jays",25,1995,0.13,0.03,-0.05,0.01,NA,0.07,-0.08,NA,NA,NA,-0.01,-0.08,-0.08,-0.09,-0.01,NA,0.09,0.08,0.29,35.06,55.08,63.7,629.97,255.01,10.09,9.99,100.02,24.97,24.97,99.92,0,20.08,0.1,0,-0.01,0.06,0.2,0.01,0,0.1,-0.01,-0.03,0.04,0.02,NA,-0.02,0.06,-0.04,NA,-0.04,0.07,0.04,0.02,0.08,0.06,-0.03,-0.07,-0.01,-0.03,0.06,3.01,3.05,270.06,3.03,0.59,0.68,3.1,2.7,88.86,0.4,0.36,0.42,0.26,33.35,0.24,0.32,0.06,-0.01,0.01,"A",2021
"2912","V. Kumwenda","Esia","GK","Mighty Jays",28,1992,34.87,0.07,0,-0.04,NA,-0.03,-0.06,NA,NA,NA,-0.06,-0.1,0.05,0.04,0.07,NA,-0.09,0.05,34.87,26.43,33.12,79.83,632.3,320.4,7.58,7.59,99.91,13.11,13.12,99.38,5.67,12.15,46.09,-0.06,-0.05,-0.06,34.87,0.04,-0.01,-0.06,0.09,-0.06,-0.04,0.02,NA,0.08,0.18,0.05,66.63,0.1,0.03,-0.09,0.12,-0.06,-0.09,-0.02,-0.04,0.07,-0.09,0.09,0.91,-0.05,15.94,0.1,-0.05,-0.02,10.03,10.07,100,-0.04,-0.1,-0.06,0.07,NA,0.07,-0.09,-0.09,-0.1,NA,"A",2021
"2937","U. Nakazibwe","Lefghau","GK","Old Mustangs",27,1992,33.08,0.05,0.1,-0.06,100.05,-0.01,0.01,0.98,1.04,6.05,0.08,-0.04,-0.02,-0.08,0.06,0.13,-0.07,-0.01,32.93,29.21,34.52,85.1,766.97,404.38,4.73,4.91,98.81,15.9,16.13,98.03,8.54,13.21,64.12,-0.03,0.1,0,33.07,0.1,-0.07,-0.04,0.03,0.1,-0.05,0.12,0.09,0.05,0.2,-0.01,19.97,0.18,-0.04,0.07,0.01,-0.08,-0.09,0.06,-0.04,-0.01,0.01,0.12,34.99,35.05,3131.07,34.71,0.98,1.07,3.4,2.45,69.21,0.49,0.25,0.36,0.31,31.45,0.14,0.05,0.11,0.08,50.09,"A",2021
"2938","F. Walker","Nganion","GK","Old Mustangs",33,1987,2.91,0.08,0.03,-0.1,NA,-0.03,-0.05,NA,NA,NA,-0.01,0.1,0.07,0,0.06,NA,-0.07,0.08,3.04,25.34,32.91,76.89,676.92,378.32,5.37,5.42,100.01,12.23,12.76,97.39,6.94,14.21,48.8,-0.04,0.06,0.1,3.08,-0.09,0.08,0.04,0.08,0.1,-0.08,-0.04,NA,0.1,0.26,0.07,0.02,0.32,0.04,0.1,-0.02,-0.02,0.06,-0.05,0,0.09,-0.02,0.36,32.92,32.98,2970.03,33.08,0.94,0.99,3.26,2.39,74.78,0.56,0.33,0.14,0.32,30.27,0.22,0.13,0.12,0.05,19.96,"A",2021
"2939","P. Tetteh","Southslands","GK","Old Mustangs",21,1998,1.98,0.04,0.05,-0.08,NA,-0.07,-0.01,NA,NA,NA,0.01,-0.02,-0.09,0.04,-0.08,NA,-0.1,0.02,2.1,25.48,31.09,82.35,729.58,366.06,3,3.05,99.97,13.04,13.03,100.01,9.51,15.07,63.37,0.04,-0.05,0.09,2.03,-0.09,-0.09,0.06,0.01,0.02,0.01,-0.1,NA,0.09,-0.07,0,NA,-0.01,0.06,0.07,-0.08,-0.06,-0.07,-0.05,0.02,0.05,-0.09,0.05,2.93,3.09,270,3.04,2.98,3.03,6.41,3.41,52.59,0.31,0.27,0.25,0.3,33.38,-0.04,-0.06,-0.04,0.01,NA,"A",2021
"2964","H. Ochan","Greri Landmoslands","GK","Punctual Rustlers",20,1999,0.55,0.05,-0.06,0.07,NA,-0.08,-0.02,NA,NA,NA,-0.05,0.03,0.05,0.06,-0.09,NA,0.03,0.06,0.5,17.97,34.06,52.98,619.95,446.05,1.98,2.02,100.09,6.1,5.99,99.94,9.99,25.99,38.45,-0.01,0.04,-0.01,0.49,-0.05,0.08,0.02,-0.02,0.09,0.02,0,NA,0.07,-0.05,-0.06,NA,0,0.02,-0.01,0.01,-0.02,-0.05,-0.05,0.07,-0.01,-0.02,-0.08,1.99,2.09,180.05,2.03,0.58,0.53,3.45,3.07,85.69,0.46,-0.09,0.53,0.58,50.1,-0.09,-0.07,0.04,-0.06,NA,"A",2021
"2965","X. Neri","People's Land of Maneau","GK","Punctual Rustlers",26,1994,30.58,-0.02,0.01,-0.09,NA,-0.05,-0.03,NA,NA,NA,0.04,-0.1,-0.03,0.01,-0.08,NA,0.04,0.06,30.49,24.97,37.75,66.2,864.95,609.67,5.58,5.62,98.92,7.93,8.14,98.42,11.14,23.59,46.85,-0.07,0.01,0.01,30.53,-0.01,-0.05,0.05,-0.03,-0.04,-0.06,0.1,-0.03,0.05,0.25,0.09,33.35,0.32,-0.1,-0.07,0.17,-0.03,0,0.15,0.04,-0.07,0.18,0.08,1.08,-0.03,48.08,0.56,-0.08,-0.02,6,6.06,100.03,0.05,0.02,-0.08,-0.06,NA,0.01,0.01,0.09,0.02,NA,"A",2021
"2966","M. Ngamita","Xikong","GK","Punctual Rustlers",30,1990,6.9,0.07,0.09,-0.02,NA,0.07,-0.06,NA,NA,NA,0.02,-0.07,0.07,-0.02,-0.05,NA,-0.07,0.07,6.98,20.39,28.36,71.47,709.67,501.09,2.69,2.67,100.03,7.87,7.96,100.03,9.54,17.71,54.08,-0.08,-0.09,0.09,7.01,-0.04,-0.01,-0.07,-0.01,-0.07,-0.08,-0.04,NA,0.03,-0.09,-0.05,NA,0.07,-0.07,0.02,0,0.05,0.06,-0.07,0.05,0.05,0.21,-0.03,31.01,30.93,2742.06,30.58,1.25,1.24,4.24,3,71.03,0.5,0.09,0.44,0.39,32.3,0.19,0.02,-0.04,0.07,0.1,"A",2021
"2992","Q. Musimenta","Nganion","GK","Silver Heels",33,1987,37,-0.03,0,0.06,NA,0.01,-0.01,NA,NA,NA,0.07,0.05,0.07,0.06,0.02,NA,0.03,-0.04,37.06,16.15,29.19,55.48,611.99,438.88,2.28,2.21,98.78,5.16,5.36,96.81,8.61,21.44,40.38,0.04,0.02,0.01,37.03,-0.07,0.06,-0.01,-0.09,0.03,0,0,-0.04,0.08,0.16,0,25.01,0.13,-0.04,0.01,-0.1,0.04,0.08,0.05,-0.04,0.03,-0.06,-0.1,7.04,6.9,629.97,6.93,1.37,1.34,3.93,2.59,70.33,0.26,0.47,0.23,0.38,28.51,0.12,0.17,0.04,0.03,-0.03,"A",2021
"2993","C. Leroy","People's Land of Maneau","GK","Silver Heels",27,1993,1.06,0,-0.06,-0.03,NA,0.04,0.05,NA,NA,NA,-0.07,-0.04,0.05,-0.04,-0.02,NA,0,0.01,0.91,5.95,21.02,28.59,257.97,207.01,2.01,2.05,100,0.05,-0.04,NA,4.08,18.97,21.06,-0.09,-0.1,-0.07,0.94,0.03,0.07,-0.06,0.01,0.08,0.06,0.02,NA,-0.04,0.08,-0.01,NA,0.04,-0.09,0.04,-0.02,0.1,-0.01,-0.01,0.01,-0.05,-0.01,-0.1,36.96,36.91,3329.93,37.03,1.64,1.63,4.48,2.8,63.65,0.25,0.15,0.54,0.25,21.52,0.09,0.09,-0.06,0.03,25,"A",2021
"3017","S. Zandamela","Mico","GK","Solemn Cougars",33,1986,38.04,0.04,-0.03,-0.02,NA,-0.02,0.05,NA,NA,NA,-0.1,0.06,-0.02,0.1,0.06,NA,-0.08,0.06,38.07,23.35,32.17,72.65,711.74,379.97,3.15,3.26,98.35,10.71,10.74,98.52,9.46,18.02,52.41,-0.08,0.1,0.03,37.98,-0.02,-0.1,0.02,-0.05,0.06,-0.01,-0.09,NA,0,0.05,-0.09,0.04,0.22,0,0.04,0.04,-0.09,-0.1,-0.08,0.01,-0.03,-0.06,0.06,1.1,1.08,89.92,1.09,1.94,1.95,4.92,2.95,59.97,1.07,0.05,0.02,-0.09,0.07,0.07,0.08,-0.06,-0.04,NA,"A",2021
"3045","M. Janssens","Ledian","GK","Somber Bombers",31,1989,13.02,-0.04,0.08,-0.07,NA,-0.04,0.03,NA,NA,NA,-0.02,0.06,-0.09,0.02,-0.08,NA,0.05,-0.09,12.95,23.84,32.85,72.69,745.54,412.54,4.82,4.81,100.08,9.55,9.61,97.5,9.35,18.19,51.57,0.09,-0.07,-0.02,12.95,0.06,-0.09,-0.07,-0.07,0.06,0.05,-0.07,NA,-0.04,0.15,0.17,99.92,0.24,-0.05,-0.04,0.07,-0.03,-0.08,0.05,-0.09,-0.07,0.08,0.04,37.96,38,3420.02,38.1,1.31,1.42,3.56,2.3,65.68,0.45,0.2,0.25,0.31,28.91,0.04,0.16,-0.03,-0.05,0.04,"A",2021
"3046","P. Johansson","People's Land of Maneau","GK","Somber Bombers",29,1990,25,0.01,-0.08,0.07,NA,0.05,0,NA,NA,NA,-0.02,-0.1,-0.04,0.05,-0.01,NA,0.03,0.06,25.02,14.53,29,50.13,621.57,457.04,1.01,1.04,100.02,4.38,4.69,96.54,9.19,23.48,38.93,0.05,0.04,-0.05,25.04,0.04,0.07,0.06,0.01,0.03,-0.04,0.08,-0.04,0.03,0.04,-0.01,0.01,0.15,0,0.05,-0.03,-0.09,0.07,0,0.11,0.07,0.01,0.02,13.06,13.04,1170.03,13.03,1.39,1.44,4.53,3.28,69.55,0.39,0.46,0.29,0.13,23.08,0.14,0.07,0.06,0.09,0,"A",2021
"3072","W. Nasiru","Rarita","GK","Stacked Rocks",33,1986,38.06,0.09,-0.06,0.03,NA,-0.09,-0.06,NA,NA,NA,-0.04,0.07,0.03,0,-0.05,NA,0.01,0.02,38.03,20.02,28.2,71.54,575.45,366.32,5.31,5.29,99.51,7.22,7.34,98.14,7.38,15.01,48.17,0.09,0.01,-0.08,38,0.03,-0.01,0.09,0,0.03,-0.08,-0.03,0.06,0.07,-0.05,-0.09,0.07,0.04,0,0,0.01,-0.01,-0.1,-0.08,0.02,-0.05,0.01,0.09,25,24.98,2249.92,24.9,1.71,1.67,4.75,3.24,66.72,0.25,0.15,0.64,0.2,15.93,0.22,0.09,0.1,0.02,25.01,"A",2021
"3095","F. Ribeiro","People's Land of Maneau","GK","Swift Musketeers",30,1989,29.95,-0.06,0.05,0.04,NA,-0.02,0.08,NA,NA,NA,-0.1,0,0.01,-0.02,0.05,NA,0.06,-0.09,29.96,22.93,35.63,64.23,612.18,381.02,5.96,6.15,99.48,9.49,9.66,98.96,7.05,19.6,35.64,0.01,0.03,-0.07,29.98,0.09,0.05,0.03,-0.1,0.06,0.02,0.19,-0.03,0.11,0.18,-0.07,25.04,0.12,-0.07,-0.01,-0.08,0.04,-0.04,-0.09,-0.05,-0.05,0.04,0.13,30.08,30.01,2700.03,29.91,1.97,1.85,4.63,2.99,63.89,0.36,0.28,0.44,0.14,23.33,0.26,0.2,0.08,0.03,0.02,"A",2021
"3096","S. Aslan","People's Land of Maneau","GK","Swift Musketeers",32,1988,8.02,-0.03,-0.06,0.06,NA,-0.05,-0.07,NA,NA,NA,0.04,0,0,0.09,0.08,NA,0.04,-0.01,7.97,19.22,34.35,56.28,566.48,372.53,4.66,4.67,99.93,6.84,7.47,93.15,6.88,21.11,32.5,0.03,-0.09,0.04,7.93,0,-0.05,0.07,0.05,-0.06,0.02,0.21,0.05,0.1,0.46,0.04,33.25,0.41,-0.02,0.08,-0.04,0.07,-0.02,-0.08,0.08,0.06,0.57,0.03,8.03,7.98,720.05,8,1.28,1.33,3.49,2.4,67.89,0.48,0.02,0.43,0.32,24.93,0.36,0.33,0.14,-0.09,33.38,"A",2021
"3126","N. Kyohirwe","Dosqaly","GK","Weak Tornadoes",27,1993,36.02,-0.06,0.04,0.08,NA,0.09,-0.08,NA,NA,NA,-0.09,0.07,-0.06,0.05,-0.07,NA,0.01,0.07,35.99,20.58,27.82,73.69,560.19,334.3,6.18,6.13,100.01,6.91,7.15,98.89,6.83,14.02,48.66,-0.03,-0.08,0.01,35.92,0.04,0.04,0.03,-0.07,-0.09,0.08,0.17,20.06,0.02,0.2,-0.09,0.02,0.12,-0.04,0.09,0.06,0.07,-0.09,0.02,0.09,0.05,0.07,0.03,19.93,20.06,1799.96,20.01,1.27,1.25,3.5,2.38,69.6,0.47,0.31,0.27,0.29,34.92,0.3,0.27,-0.03,0.08,20.01,"A",2021
"3127","E. binti Ismail","Ledian","GK","Weak Tornadoes",23,1996,1.91,0.06,-0.03,-0.03,NA,-0.08,0,NA,NA,NA,0.09,0.05,-0.05,-0.02,-0.07,NA,0.05,-0.05,2.06,18.41,23.08,80.34,479.6,267.98,4.5,4.41,100.05,7.41,7.5,100.07,5.98,10.44,57.17,-0.09,0.08,-0.07,1.91,-0.05,0.08,-0.08,-0.09,0.04,-0.01,0.46,0,0.48,1.08,0.02,0,1.04,-0.06,-0.07,0.03,0.04,0.04,-0.08,-0.04,0.02,-0.02,-0.08,36.06,36.02,3239.99,36.02,1.42,1.26,4.41,3.23,73.15,0.09,0.38,0.49,0.33,25.01,0.09,0.18,0.01,-0.03,0.1,"A",2021
"3156","Y. Kyosiimire","Nganion","GK","Flawless Cows",26,1993,9.07,-0.08,-0.08,0.09,NA,0.06,0.06,NA,NA,NA,0,0.05,0.01,-0.08,-0.02,NA,-0.09,0.01,9.08,21.71,24.06,90.76,475.06,280.29,6.16,6.23,99.94,11.88,11.82,100.07,3.67,5.84,62.28,0.08,0.1,0.06,8.96,-0.08,-0.03,0.02,-0.1,-0.02,0.02,-0.01,NA,0.06,-0.04,-0.08,NA,0.1,-0.06,-0.05,-0.07,-0.04,0.09,0.08,0.02,-0.05,-0.07,0.05,1.92,2,180.08,2.03,2.5,2.56,4.06,2.1,50.09,0.06,0.04,1.02,0.09,-0.02,0.47,0.52,-0.06,-0.02,0.07,"A",2021
"3157","X. Driscoll","Nkasland Cronestan","GK","Flawless Cows",20,1999,1.09,-0.02,0.01,-0.01,NA,-0.03,-0.07,NA,NA,NA,-0.03,-0.09,0.08,0,-0.01,NA,0.05,0.07,0.95,24.94,30.01,83.36,532.04,329.1,3.95,3.94,100.03,18.03,19.04,94.66,3.07,6.99,42.81,-0.09,0.04,0.07,1,-0.02,0.07,0.08,-0.07,0.03,-0.06,0,NA,0.02,-0.08,-0.07,NA,-0.01,0.03,0.01,-0.06,-0.05,0.06,-0.1,0.08,0.07,-0.03,0.97,10.08,8.05,809.92,8.9,1.08,1.04,3.99,3.04,75.08,0.63,0.09,0.28,0.64,62.49,-0.09,0.04,-0.07,-0.07,NA,"B",2021
"3158","P. Addae","South Sati Fatina","GK","Flawless Cows",33,1986,28.05,0.07,0.09,-0.1,NA,-0.08,0.04,NA,NA,NA,0.03,-0.02,-0.08,0.05,-0.09,NA,0.07,0.04,28.08,23.14,26.5,87.24,606.27,348.05,4.44,4.63,99.92,11.68,11.63,99.77,6.86,10.26,67.43,0.01,-0.07,-0.07,27.94,0.01,-0.01,-0.05,-0.1,-0.08,-0.04,0.04,NA,0.04,0.27,0.03,40,0.19,-0.09,0.09,0.1,0.01,-0.02,-0.03,0.07,-0.03,0.14,-0.06,1.05,1.04,90.1,0.96,1.07,1.05,2.97,2.09,66.61,0.02,0.1,0.92,-0.1,-0.02,0.01,-0.08,-0.1,0.06,NA,"B",2021
"3180","F. Kimera","Dosqaly","GK","Glistening Paladins",23,1997,35.02,-0.05,-0.08,-0.04,NA,0.06,0.02,NA,NA,NA,-0.03,0.1,0.04,-0.04,0.08,NA,-0.04,0.07,35.07,28.7,36.09,79.44,865.72,495.9,4.37,4.43,99.4,13.1,13.34,98.36,11.03,18.16,60.6,-0.06,-0.03,0.04,35.1,0.01,0.03,-0.09,-0.05,-0.03,-0.03,-0.06,-0.03,-0.07,0.06,-0.01,20.04,0.22,0.05,0.04,-0.04,-0.08,0.04,0.12,-0.02,0.01,0.2,0.1,29.03,29.04,2519.93,27.99,0.54,0.64,3.17,2.6,80.92,0.7,0.07,0.16,0.46,51.71,-0.03,0.13,-0.03,-0.1,50.02,"B",2021
"3181","T. Okello","Dosqaly","GK","Glistening Paladins",22,1998,3,-0.08,-0.06,0.07,NA,-0.07,-0.03,NA,NA,NA,0.09,-0.04,-0.08,0.05,0.1,NA,0.09,0.07,2.94,21.25,30.07,71.07,664.72,379.77,2.65,2.73,99.91,9.36,9.61,96.58,9.26,17.6,52.75,-0.07,-0.01,-0.03,3.1,-0.04,0.07,0.05,0.02,0.01,-0.05,0.08,NA,0.05,0.28,0.1,0.05,0.26,-0.05,-0.1,0.09,0.03,0.08,-0.08,-0.09,0.05,-0.02,0.37,35.08,35.05,3149.96,34.9,1.78,1.81,4.47,3.06,66.05,0.28,0.21,0.57,0.16,17.08,0.27,0.32,-0.04,0.11,11.1,"B",2021
"3212","V. Bwambale","Dosqaly","GK","Golden Rustlers",33,1987,37.98,0.01,0.07,0.01,NA,-0.09,-0.05,NA,NA,NA,0.01,0.07,-0.03,-0.03,0.04,NA,-0.07,0.01,38.04,24.37,34.84,69.85,824.36,566.71,3.35,3.43,100.01,9.41,9.74,97.52,11.38,21.72,52.61,0.08,0.05,0.03,38.1,0.04,0.06,0.08,-0.08,-0.02,-0.03,0.11,-0.04,0.05,0.07,-0.07,16.76,0.24,0,-0.05,-0.07,0.04,0.05,-0.02,-0.04,0.07,0.03,0.09,3.04,2.97,269.94,3.02,1.38,1.32,3.4,2.26,70,0.26,0.28,0.42,0.4,33.36,0.37,0.36,0.06,-0.08,-0.06,"B",2021
"3239","U. Yamasaki","Coastpa Barleslands","GK","Grotesque Rocks",23,1996,8.04,-0.06,0.01,0.01,NA,-0.01,0.01,NA,NA,NA,0.02,-0.01,-0.05,0.1,0.07,NA,-0.04,-0.02,8.09,20.75,30.84,67.3,722.71,526.47,2.99,3.07,99.95,7.64,7.79,98.34,10.04,19.99,49.97,-0.01,0.01,-0.08,8.06,0.03,-0.1,-0.04,0.09,-0.07,0.04,0.23,-0.03,0.16,0.42,0.08,0.04,0.39,0.01,-0.05,-0.06,0.03,-0.02,-0.07,0.06,-0.03,-0.07,0.08,37.98,38.1,3420.08,37.97,1.46,1.58,3.93,2.51,66.24,0.27,0.08,0.49,0.35,36.78,0.16,0.2,0.01,-0.05,12.49,"B",2021
"3240","S. binti Othman","Lylimi","GK","Grotesque Rocks",37,1983,23.99,-0.04,0,-0.07,-0.06,0.08,-0.06,0.1,NA,74.08,-0.03,-0.02,-0.04,-0.03,0.06,-0.03,-0.04,-0.02,23.98,20.26,29.88,68.1,770.62,558.71,2.06,2.23,100.03,7.54,7.53,100.04,10.44,19.89,52.73,-0.08,0.09,0.04,23.96,-0.09,0.04,0.03,0.05,0.09,-0.04,0.03,0.08,-0.01,0.2,-0.02,24.91,0.24,0.03,-0.09,-0.04,0.08,-0.01,-0.03,0.03,-0.09,0.01,0.11,7.91,7.91,719.92,7.92,1.7,1.72,3.85,2.47,58.13,0.25,-0.03,0.8,0.25,25.05,0.13,0.2,-0.05,0.03,0,"B",2021
"3241","T. Bukar","Southern Ristan","GK","Grotesque Rocks",28,1992,6.01,-0.04,0.09,0.08,NA,0.01,0,NA,NA,NA,-0.02,-0.09,0.07,-0.09,-0.09,NA,0.07,0.01,6.03,18.36,29.1,62.81,691.94,513.49,3.1,2.98,100.01,5.76,5.72,99.95,9.45,20.33,46.71,-0.01,0.06,-0.03,5.99,0.08,0.03,0.02,-0.09,0.03,-0.09,0.01,NA,-0.1,0.14,-0.07,-0.02,0.27,0.09,0.03,0.1,0.09,0.05,-0.03,0.05,-0.02,0.2,-0.06,23.92,23.9,2159.96,24.04,1.19,1.3,3.8,2.6,69.15,0.24,0.34,0.36,0.39,33.32,0.19,0.2,-0.04,0.06,24.91,"B",2021
"3260","A. Lamunu","Dosqaly","GK","Jumping Beans",20,1999,1.54,-0.08,-0.01,0.07,NA,-0.03,0.01,NA,NA,NA,0.06,-0.08,0.1,0.07,0.06,NA,-0.08,0.05,1.43,26.7,34.76,76.88,692.63,437.27,3.98,4.04,99.96,13.33,13.97,95.14,9.39,16.61,56.1,0.07,-0.09,0.05,1.44,-0.1,-0.04,0.05,0,0.09,0.03,-0.06,NA,-0.06,0.09,-0.06,NA,0.08,0.09,0.05,0.04,0.03,-0.05,0.01,-0.09,0.09,0,-0.04,5.94,5.91,539.93,5.92,2.26,2.15,4.19,2.31,56,0.1,0.29,0.52,0.06,0,0.43,0.26,0.08,0.08,0.08,"B",2021
"3261","K. Adero","Rosvi","GK","Jumping Beans",24,1995,36.41,0.04,0.02,0.01,NA,0.09,0.06,NA,NA,NA,0.03,0.06,0.02,-0.03,0.06,NA,-0.01,-0.05,36.5,26.42,39.71,66.15,831.79,473.23,3.15,3.21,99.06,12.52,12.62,99.14,10.63,23.96,44.32,-0.09,-0.09,-0.1,36.41,-0.03,-0.09,0.08,0.04,0.07,-0.09,0.13,-0.05,0.16,0.19,0.03,10.03,0.2,-0.04,-0.06,0.1,0.06,0.04,-0.06,0.04,0.07,0.06,0.04,2.08,1.04,135.06,1.48,0.75,0.68,3.42,3.41,100.07,-0.05,0.01,0.67,-0.03,0.05,0.61,0.59,0.03,0.08,-0.05,"B",2021
"3295","J. Ogawa","Dosqaly","GK","Mean Colts",34,1985,36.79,0.07,-0.06,-0.08,NA,-0.06,0.01,NA,NA,NA,-0.06,0.07,0.05,-0.1,0.02,NA,-0.08,-0.02,36.72,18.93,27.99,67.83,580.49,415.23,4.6,4.45,99.93,6.38,6.36,98.33,7.24,16.26,45.3,0.09,-0.07,0.1,36.71,0.03,0.05,0.05,-0.08,0.03,0.01,0.08,-0.04,0.11,0.22,0.1,44.46,0.16,0,-0.01,0.08,-0.04,-0.09,-0.05,0.05,-0.07,0.08,-0.04,36.97,37.05,3285.09,36.58,1.3,1.41,4.34,3.01,71.27,0.17,0.32,0.42,0.21,26.94,0.19,0.03,0.11,0.01,33.39,"B",2021
