"","�..Player","Nation","Pos","Age","Born","X90s","Gls","Standard.Sh","Standard.SoT","Standard.SoT.","Standard.Sh.90","Standard.SoT.90","Standard.G.Sh","Standard.G.SoT","Standard.Dist","Performance.PK","Performance.PKatt","Standard.FK","Expected.xG","Expected.npxG","Expected.npxG.Sh","Expected.G.xG","Expected.np.G.xG","Total.Cmp","Total.Att","Total.Cmp.","Total.TotDist","Total.PrgDist","Short.Cmp","Short.Att","Short.Cmp.","Medium.Cmp","Medium.Att","Medium.Cmp.","Long.Cmp","Long.Att","Long.Cmp.","Ast","xA","A.xA","KP","X1.3","PPA","CrsPA","Prog","Tackles.Tkl","Tackles.TklW","Tackles.Def.3rd","Tackles.Mid.3rd","Tackles.Att.3rd","Vs.Dribbles.Tkl","Vs.Dribbles.Att","Vs.Dribbles.Tkl.","Vs.Dribbles.Past","Pressures.Press","Pressures.Succ","Pressures..","Pressures.Def.3rd","Pressures.Mid.3rd","Pressures.Att.3rd","Blocks.Blocks","Blocks.Sh","Blocks.ShSv","Blocks.Pass","Int","Tkl.Int","Clr","Err"
"251","I. Šari?","Manlisgamncent","FW",26,1994,1.88,0.05,1.11,0.04,0.05,1.13,0.06,-0.07,NA,12.49,-0.01,-0.07,0.06,0.17,0.09,0.02,-0.21,-0.04,19.97,27.83,71.73,261.66,39.44,14.24,17.33,81.8,4.78,5.32,89.91,0.6,2.17,24.99,-0.01,-0.05,-0.07,0.62,1.67,0.54,0.03,1.61,0.43,0.62,0.08,0.03,0.54,-0.03,0.05,NA,-0.02,15.27,3.6,24.16,1.08,8.44,5.77,0.96,0.6,-0.07,0.61,1.02,1.52,1.55,-0.09
"252","R. Kato","Manlisgamncent","FW",31,1989,2.94,0.73,2.35,1.08,42.89,2.38,1.06,0.32,0.61,17.74,0.07,0.04,0,0.12,0.17,0.03,0.66,0.58,24.5,34.07,71.79,409.96,127.99,13.87,15.84,87.08,7.98,10.26,76.71,2.39,5.79,41.25,0.36,0.26,0.04,2.37,1.68,1.07,0.43,2.83,1.31,0.78,0.61,0.43,0.31,0.26,1.77,19.94,1.36,20.28,3.04,15.33,3.46,9.02,7.83,1.06,0.31,-0.01,0.61,1.36,2.73,1.32,0.07
"253","F. Blanco","Manlisgamncent","FWDF",22,1998,1.37,-0.09,0.01,-0.04,NA,-0.1,-0.04,NA,NA,NA,-0.04,-0.01,0.04,-0.06,0.02,NA,0.08,-0.01,27.67,34.68,79.91,525.4,93.85,11.49,13.14,88.19,11.52,14.59,78.89,3.82,4.54,83.38,-0.01,0.19,-0.27,0.85,0.68,-0.04,-0.08,1.61,2.39,0.86,0.74,1.61,-0.06,-0.07,1.48,0.03,1.56,26.26,8.42,32.44,10.78,10.05,5.33,0.86,-0.06,0.02,0.76,1.51,3.92,-0.08,0.05
"254","C. Soto","Manlisgamncent","FWMF",22,1998,0.79,-0.08,1.5,-0.02,0.02,1.41,0.04,-0.04,NA,25.02,-0.02,0.06,0.01,-0.03,0.03,0.03,0.05,0,27.01,35.61,75.92,408.52,104.34,15.72,20,78.62,9.98,12.86,77.73,1.5,1.38,99.99,0.04,-0.03,-0.09,0.1,1.47,-0.08,-0.04,1.5,1.37,-0.03,1.42,0.07,-0.08,-0.04,1.51,-0.07,1.4,28.5,2.93,9.92,11.48,12.82,4.37,1.49,0.06,0.05,1.44,1.47,2.87,0.04,-0.01
"255","H. Mbabazi","Manlisgamncent","FWMF",23,1997,2.24,0.46,1.23,0.5,33.21,1.3,0.52,0.41,0.94,10.6,0.09,0.08,-0.09,0.2,0.13,0.15,0.17,0.26,20.95,24.22,85.73,261.32,50.85,14.37,15.6,91.64,4.81,7.05,68.83,0.5,0.48,100.04,-0.05,0.14,-0.29,0.86,1.32,-0.07,0.03,1.77,1.4,0.42,0.33,0.84,0.09,0.49,0.88,50.02,0.48,23.53,6.45,27.81,3.93,11.28,8.21,0.39,-0.05,0.04,0.37,0.89,2.13,1.23,-0.1
"256","J. Jørgensen","Manlisgamncent","FWMF",25,1995,0.55,1.95,3.96,2.06,50.02,3.75,1.96,0.52,0.95,11,0.07,-0.08,0.05,0.53,0.58,0.13,1.32,1.44,48.07,49.9,96,793.99,202,20.1,20.01,100.02,23.98,24.04,100.01,1.91,3.94,50.09,0.08,1.1,-1.22,4,3.96,2.08,0.04,8.06,4.02,4.03,0.04,1.96,2.1,-0.04,0.07,NA,-0.05,17.98,3.92,22.22,-0.09,10.03,7.93,0.1,0,0.01,-0.01,4.09,8,-0.08,0.07
"257","Z. Davies","Manlisgamncent","FWMF",29,1991,2.4,-0.08,1.59,0.72,49.96,1.61,0.7,0.05,0.07,18.89,0.02,-0.06,0.03,0.32,0.17,0.16,-0.3,-0.24,21.94,24.83,88.79,349.63,37.15,12.38,12.72,96.8,5.23,6.34,81.31,3.52,4.06,90.06,0.41,0.09,0.45,0.71,0.84,0.78,0.49,0.45,0.07,0.02,0.02,0.09,0.05,-0.08,0.83,0.01,0.8,21.27,4.31,20.75,4.07,10.01,7.15,0.79,-0.02,-0.02,0.84,0.05,0.09,1.14,0.04
"271","L. Tembo","Mico","FW",21,1999,0.85,0.06,4.37,1.11,25.01,4.6,1.14,-0.07,0.04,13.37,0.08,0.07,-0.03,0.33,0.4,0.07,-0.33,-0.24,18.99,19.91,94.35,342.1,77.74,11.16,11.02,99.99,3.39,4.44,75.03,3.4,3.41,100.05,-0.03,0.15,-0.16,2.27,2.26,2.12,0.09,3.38,1.13,0.05,0.02,1.02,-0.03,-0.03,0.09,NA,-0.01,13.22,8.88,66.74,0.03,3.31,9.93,0.02,-0.03,0.01,0.06,0,1.19,1.12,-0.06
"272","N. Katusabe","Mico","FW",27,1993,0.64,-0.07,5.8,1.43,24.98,5.97,1.56,0.05,-0.02,14.53,-0.09,-0.03,-0.01,0.32,0.26,0.02,-0.25,-0.23,27.03,38.58,70.5,459.99,68.58,15.79,18.65,84.62,7.11,9.99,71.38,2.84,7.1,40.03,1.44,0.33,0.98,2.8,1.45,1.51,-0.07,2.94,-0.05,0.02,0.09,0.04,0.04,0,-0.08,NA,-0.09,11.34,4.21,37.51,0,7.09,4.34,0.08,-0.02,0.08,0.06,0,0.03,0.05,-0.09
"273","P. Khoh","Mico","FW",23,1997,2.47,1.13,2.8,1.92,71.39,2.9,2.09,0.37,0.62,15.98,-0.02,0.06,0.09,0.23,0.4,0.2,0.82,0.96,15.17,19.67,77.63,189.58,19.24,10.35,12.87,81.33,2.78,3.53,77.75,0.75,1.55,49.99,-0.01,0.13,0.06,0.79,0.45,0.06,0.04,-0.09,0.7,0.49,0.06,0.81,0.1,0.09,0.01,NA,0.07,11.1,2.09,17.87,0.46,6.07,4.9,1.24,0.01,0,1.12,-0.02,0.74,0.77,0.02
"274","X. James","Mico","FW",26,1994,3.31,0.71,2.04,1.17,57,2.22,1.22,0.3,0.45,16.54,-0.07,0.07,0.05,0.37,0.5,0.18,0.12,0.12,20.03,29.61,67.27,267.38,61.73,13.59,16.74,81.82,3.69,7.37,49.97,1.12,2.65,44.35,0.04,0.08,-0.15,2.11,0.94,0.63,0.32,0.61,1.17,0.82,0.9,-0.09,0.38,0.29,2.1,14.25,1.73,20.01,5.43,27.25,3.38,7.35,9.36,0.82,-0.09,-0.07,0.85,0.25,1.52,0.88,-0.08
"275","M. Ogbonna","Mico","FWMF",21,1999,0.41,0.09,0.02,-0.09,NA,-0.07,-0.02,NA,NA,NA,0,0.01,-0.06,-0.01,-0.02,NA,0.04,-0.04,42.46,47.42,89.55,699.97,110.05,24.9,27.44,90.89,15,17.42,85.76,2.4,2.41,99.91,0.02,0.34,-0.33,2.42,2.44,0.01,0.01,2.46,2.54,-0.1,2.45,-0.01,0.07,2.49,2.46,99.97,0.06,12.55,2.51,19.96,4.96,5.03,2.58,2.54,2.4,2.49,0.09,-0.03,2.47,-0.02,0.1
"276","U. Nafula","Mico","FWMF",29,1991,6.3,0.2,2.49,0.4,18.78,2.54,0.52,0,0.27,14.84,-0.06,0.1,0.21,0.22,0.36,0.2,-0.2,-0.05,22.22,29.32,75.63,326.67,62.07,12.43,14.6,84.8,7.91,9.52,83.25,0.89,2.77,35.25,-0.09,0.11,-0.13,1.35,1.31,0.73,0.02,1.98,0.23,0.25,0.15,0.04,-0.05,0.19,0.52,33.28,0.4,9.48,3.39,36.63,1.37,3.4,4.68,0.43,0.07,0.07,0.48,0.45,0.59,0.13,0.02
"282","B. Owor","Mico","MFFW",20,2000,3.63,0.66,2.47,1.17,44.42,2.5,1.2,0.25,0.44,20.27,0.07,0.03,0.48,0.29,0.23,0.07,0.27,0.36,25.56,34.23,74.73,430.69,123.53,13.69,15.21,89.17,9.5,13.96,68.08,2.59,3.35,75.07,0.37,0.14,0.11,1.73,3,1.9,0.51,4.22,1.66,1.17,0.61,1.13,-0.07,0.02,0.5,0.04,0.5,16.38,4.92,30.41,3.05,9.73,3.65,1.58,0.09,0,1.66,2.83,4.42,0.21,-0.07
"283","Q. Ili?","Mico","MFFW",25,1996,1.52,0.04,1.31,-0.04,0.07,1.3,0.09,-0.04,NA,25.39,0.03,-0.09,-0.05,0.07,0.16,-0.03,-0.13,0.03,56.35,74.91,74.95,1146.86,263.89,26.35,29.49,89.31,18.77,23.07,81.03,11.28,21.89,51.41,0.54,0.08,0.59,1.35,2.51,2.58,0.56,5.57,0.08,0.03,0.02,0.02,0.04,0.08,2.47,-0.03,2.41,29.97,6.19,20.86,13.18,11.81,5.09,0.64,0.07,0.01,0.65,0.73,0.61,0.58,0.07
"290","G. Acheampong","New Uwi","FW",23,1997,2.63,-0.08,3.04,1.17,37.49,2.98,1.19,-0.08,0.01,22.42,-0.03,0.07,0.41,0.05,0.18,0.1,-0.05,-0.1,12.19,17.71,68.9,183.67,55.83,8.09,10.42,78.63,3.01,4.14,72.74,0.78,1.58,49.91,0.27,0.04,0.24,1.45,0.75,0.75,0.08,1.17,0.33,0.45,-0.09,0.4,0.07,-0.06,0.35,0.09,0.38,12.69,1.42,11.81,2.61,7.06,2.92,0.7,-0.07,-0.03,0.74,0.39,0.81,-0.09,0.06
"291","P. Mutyaba","New Uwi","FW",33,1987,0.82,-0.07,0.02,-0.07,NA,-0.1,0.06,NA,NA,NA,-0.03,0,0,0.01,0,NA,-0.02,0.05,13.86,17.41,78.69,187.56,0.01,7.59,10.03,74.99,4.96,4.95,100.05,0.03,-0.04,NA,0.04,-0.1,0.05,0.07,-0.07,-0.03,-0.07,-0.04,2.56,-0.1,1.35,0.06,1.28,0.01,1.17,-0.02,1.28,11.32,1.24,11.16,6.17,3.73,1.32,1.22,1.29,0.08,-0.02,2.45,5.04,0.01,-0.04
"292","W. Takata","New Uwi","FW",20,2000,0.23,0.07,0.02,-0.04,NA,-0.07,-0.02,NA,NA,NA,0,0.04,-0.01,0.1,-0.1,NA,0.05,0.06,16.72,19.96,83.4,119.91,16.7,16.7,16.73,100.02,-0.07,0.09,NA,0.07,3.41,0.08,0.01,0.08,-0.1,0.07,-0.04,0.01,0.08,0.05,0.01,0.09,-0.04,0.03,-0.02,0.08,6.58,-0.02,6.67,23.35,0.08,0.07,6.73,3.35,13.4,0.01,0.06,0.05,-0.08,-0.06,-0.08,0.07,0
"293","X. Hofer","New Uwi","FW",33,1987,2.23,0.55,2.3,1.33,60.03,2.26,1.35,0.23,0.37,26.23,-0.09,0.03,-0.04,0.09,0.23,0.02,0.26,0.41,8.22,14.16,58.1,142.75,55.88,4.6,5.54,83.23,1.73,3.22,57.07,1.38,2.32,59.99,0.89,0.14,0.81,0.35,0.48,0.5,0.08,1.44,0.87,0.82,0.45,0.4,0.04,0.45,1.87,24.96,1.37,18.22,4.6,25,6.83,7.27,4.11,0.88,-0.06,-0.08,0.87,1.42,2.3,2.29,-0.04
"294","Z. Tuhirirwe","New Uwi","FWDF",24,1996,0.02,-0.07,0.07,-0.09,NA,0.1,0.03,NA,NA,NA,-0.08,-0.05,-0.05,-0.04,-0.05,NA,-0.01,-0.05,70.03,79.9,87.51,1289.97,140.1,30,29.93,100.07,10.06,20.02,49.92,20.09,20.07,100.1,0.03,0.08,0.04,-0.03,0.09,-0.08,-0.04,0.02,-0.09,0.08,0.05,-0.08,0.1,-0.01,0.08,NA,-0.01,39.91,9.93,25,20.05,10.02,9.98,9.99,0.09,0.08,9.96,9.99,10.05,-0.06,-0.07
"309","D. Nasser","Nganion","DFFW",25,1996,0.27,0.09,-0.07,0,NA,-0.07,0.05,NA,NA,NA,0.09,0.02,-0.06,-0.05,0.04,NA,-0.08,-0.09,70.03,80.08,87.53,1310,89.91,34.94,35.08,99.99,25.05,24.9,99.99,10.05,15.04,66.62,0.05,0.06,-0.03,-0.05,-0.08,-0.05,0,-0.01,0.03,0.09,0.09,-0.03,-0.07,0.06,-0.08,NA,-0.06,0.09,0.05,NA,-0.02,0.1,0.08,0.09,0.09,-0.02,0.09,0.07,-0.05,-0.04,0.09
"310","B. Male","Nganion","FW",23,1997,1.94,0.51,4.8,2.08,44.42,4.84,2.08,0.13,0.17,17.27,0.06,-0.09,0.09,0.53,0.44,0.11,0.07,0.09,43.14,51.51,83.71,754.72,172.1,21.1,24.17,87,15.75,16.71,93.86,5.85,7.82,73.27,-0.05,0.43,-0.47,3.21,1.63,1.66,0.6,4.21,0.53,0.1,-0.1,0.07,0.57,0.07,0.62,-0.06,0.59,13.65,3.08,23.07,1.62,5.84,6.42,2.2,0.06,0.08,2.04,-0.06,0.52,-0.06,0.03
"311","G. Owusu","Nganion","FW",28,1992,4.93,0.64,3.38,1.66,47.2,3.32,1.65,0.12,0.29,12.62,-0.08,0.17,-0.06,0.79,0.63,0.22,-0.19,-0.06,23.69,28.3,83.02,379.74,28.8,12.43,14.56,84.93,5.58,6.84,82.48,3.28,3.65,88.89,0.02,0.15,-0.05,0.84,0.54,0.52,-0.03,1.33,1.92,1.25,0.49,0.45,1.2,0.17,0.41,50.01,0.14,19.71,6.22,31.23,0.83,7.92,10.95,0.83,0.27,-0.07,0.62,0.53,2.65,0.44,0.07
"312","J. Chou","Nganion","FW",28,1992,3.1,0,4.82,1.69,33.35,4.96,1.58,-0.07,0.02,14.14,0.05,0.29,0.27,0.92,0.5,0.05,-0.85,-0.66,30.39,40.53,74.62,447.17,98.13,19.47,21.91,88.14,9.27,11.83,78.41,1.59,3.85,41.62,0.56,0.13,0.65,0.93,0.88,2.3,-0.02,4.22,1.31,1.06,0.42,0.32,0.7,0.97,1.6,59.94,0.63,10.4,5.14,49.92,1.92,4.27,4.23,1.61,0.37,-0.09,1.38,1.6,2.95,-0.09,-0.05
"313","J. Pedro","Nganion","FW",22,1998,4.24,-0.08,5.31,1.87,36.32,5.31,1.97,0.1,0.01,17.88,-0.02,-0.07,0.32,0.54,0.38,0.04,-0.44,-0.44,34.32,47.04,72.8,536.37,123.64,20.94,25.07,83.76,8.85,12.02,72.51,3.17,6.26,49.94,0.66,0.45,0.28,2.46,1.18,1.43,0.94,2.42,1.35,0.88,0.03,0.72,0.69,0.68,1.27,60.1,0.41,17.98,4.82,26.76,2.05,10.48,5.26,1.84,0.08,-0.06,1.86,0.98,2.39,0.98,0.04
"314","K. Mukwaya","Nganion","FW",20,2000,4.08,0.48,2,0.69,37.59,1.93,0.83,0.21,0.62,16.39,-0.09,-0.03,-0.01,0.26,0.38,0.2,0.19,0.22,28.73,36.81,78.14,438.55,97.89,16.53,19.35,86.13,8.48,10.42,81.37,2.14,4.57,47.37,0.2,0.12,0.02,0.97,1.07,2.23,1.51,2.49,0.65,0.44,0.14,0.15,0.22,0.02,0.56,0,0.55,11.51,3.02,25.58,1.51,4.37,5.53,1.67,-0.1,-0.07,1.8,1.07,1.79,-0.08,0.05
"315","R. Ssembatya","Nganion","FW",28,1992,2.87,0.62,2.9,1.49,49.99,2.92,1.4,0.28,0.58,13.23,-0.09,0.05,0.07,0.4,0.29,0.1,0.4,0.23,41.44,54.26,76.31,618.51,143.99,23.97,27.84,85.96,15.06,20.05,74.9,1.76,4.56,38.47,0.33,0.55,-0.16,2.1,1.41,1.48,0.32,3.63,0.64,0.29,0.02,0.39,0.41,0.34,0.66,50.09,0.44,10.43,3.93,37.97,0.75,4.94,4.65,0.3,-0.04,0.05,0.44,0.42,0.99,0.36,0.02
"333","D. Obeng","Ngoque Blicri","FW",24,1996,2.33,0.02,3,0.48,14.39,3.01,0.44,-0.06,-0.08,15.39,0.01,0.03,-0.04,0.34,0.27,0,-0.34,-0.24,17.41,21.67,80.9,322.5,50.06,8.75,9.13,95.57,4.99,7.53,66.63,2.82,3.38,87.45,0.08,0.18,-0.21,0.75,0.8,1.33,0.37,1.62,0.33,0.43,0.02,0.03,0.49,0.01,0.79,0,0.79,15.75,4.21,26.32,2.15,7.44,6.17,0.43,0.45,-0.03,-0.07,1.2,1.62,0.52,0.06
"334","H. Reiter","Ngoque Blicri","FW",25,1995,0.42,-0.1,-0.04,0.02,NA,0.05,0.07,NA,NA,NA,0.01,-0.02,0.08,-0.03,0.06,NA,-0.1,0.06,18.1,21.9,81.82,307.93,41.91,9.95,12.01,83.25,6.04,6.04,99.95,2.04,4.01,49.93,-0.07,0.13,-0.19,2,-0.04,4.08,0.01,3.9,2.03,-0.04,-0.09,0.07,1.96,2.05,1.98,99.93,0.05,26.02,4.02,15.46,4.02,14.01,7.98,-0.07,0.01,-0.09,-0.05,0.06,2,0,0
"335","R. Akidi","Ngoque Blicri","FW",23,1997,0.27,-0.08,6.61,3.32,50.05,7.46,3.75,0.03,-0.1,14.78,0.05,0,0.06,0.35,0.39,0.14,-0.34,-0.25,13.35,23.29,57.1,183.38,3.35,9.98,16.72,60,3.32,3.23,99.93,-0.09,0.02,NA,0.01,0.02,0.08,-0.05,0.04,0,0.02,-0.03,6.75,3.26,0.02,6.75,-0.04,3.26,3.37,99.99,0.06,26.62,3.35,12.48,3.24,10.01,13.25,0.05,0.03,0.07,0.02,3.36,10.04,-0.06,0.01
"336","X. Salihu","Ngoque Blicri","FW",25,1995,2.8,0.01,2.04,0.75,33.34,2.07,0.65,0.03,-0.07,11.68,0.05,-0.08,-0.02,0.39,0.42,0.12,-0.4,-0.26,8.22,18.3,45.34,127.87,35.11,4.86,9.22,51.94,2.77,6.28,44.34,0.29,0.67,50.1,0.01,0.11,-0.08,1.1,0.99,0.04,-0.09,0.94,-0.05,0.04,-0.05,0.07,0.05,0,0.38,-0.09,0.27,18.32,3.49,18.92,1.12,7.97,9.21,0.37,-0.04,0.06,0.3,-0.07,0,1.1,-0.07
"350","L. Friedrich","Nkasland Cronestan","DFFW",25,1995,0.83,-0.08,0.05,-0.05,NA,0.03,0,NA,NA,NA,0.05,0.03,-0.06,-0.06,-0.07,NA,-0.04,-0.01,45.65,54.45,83.62,755.6,250.03,27.83,30.09,92.6,13.34,15.51,85.77,4.4,5.48,80.09,1.12,0.74,0.37,5.57,-0.04,6.65,4.43,3.36,2.2,1.07,0.05,1.07,1.16,2.22,2.29,100.01,-0.03,31.1,4.38,14.36,2.13,14.4,14.45,0.05,-0.07,-0.06,-0.06,0.08,2.26,0.08,0
"351","I. Kyohairwe","Nkasland Cronestan","FW",28,1992,0.26,-0.08,3.25,-0.1,-0.09,3.09,0.09,-0.02,NA,4.94,0.07,0.01,0.08,0.24,0.38,0,-0.34,-0.33,19.95,20.02,100.06,390.1,36.64,9.99,10.08,100,3.26,3.34,99.97,3.36,3.37,100,-0.05,0.1,0.09,-0.09,0.06,-0.05,-0.08,-0.05,0.08,0.02,-0.04,0.02,-0.01,-0.09,0.06,NA,-0.02,9.96,3.24,33.25,3.27,-0.08,6.7,-0.03,0.02,0.02,-0.09,0.01,0.09,0.08,-0.04
"352","S. Y?lmaz","Nkasland Cronestan","FW",32,1988,3.06,0.97,4.09,1.26,33.24,3.96,1.26,0.19,0.75,14.12,0.01,-0.1,0.38,0.64,0.67,0.12,0.37,0.38,15.39,22.6,67.5,263.29,61.68,6.25,9.06,70.45,6.3,7.67,82.58,1.66,3.42,50.03,0.07,0,-0.18,0.92,1.34,0.93,0.02,1.24,0.72,0.32,0.04,0.26,0.36,0.34,0.75,49.99,0.33,13.09,5.24,41.08,0.36,3.64,8.95,0.99,-0.02,-0.05,1.02,0.42,1.06,0.73,-0.03
"353","V. Yang","Nkasland Cronestan","FWMF",17,2003,0.52,0.02,0.06,0.06,NA,-0.07,0.05,NA,NA,NA,-0.01,-0.01,-0.05,0.07,0.07,NA,-0.05,0.03,25,29.93,83.33,494.95,165.01,11.61,11.68,99.94,10.05,11.64,85.77,3.27,3.33,99.91,0.08,0.07,0.04,-0.03,1.7,-0.09,0.04,1.64,1.59,1.69,1.67,-0.01,0.08,1.59,1.6,100,0.08,24.93,6.69,26.67,5,15.03,5.1,4.98,-0.04,0.05,5,1.7,3.28,-0.06,0.01
"354","Y. Beh","Nkasland Cronestan","FWMF",24,1997,1.76,0.05,2.71,0.61,20,2.79,0.6,0.1,-0.04,13.76,-0.05,-0.04,0.02,0.24,0.2,0.01,-0.1,-0.18,10.5,17.77,59.47,192.11,15.09,5.06,7.2,69.18,3.8,6.04,63.64,1.58,3.9,42.86,-0.06,-0.04,0.04,0.49,0.63,0.52,-0.05,0.65,1.76,1.74,0.5,-0.07,1.05,0.55,0.65,99.99,0.09,20.61,6.61,32.38,3.37,11.77,5.52,0.58,0.08,0.05,0.54,0.08,1.57,0.61,-0.04
"360","Q. Liang","Nkasland Cronestan","MFFW",26,1994,2.86,0.09,2.37,0.62,28.65,2.32,0.68,0.04,0.01,23.29,0.07,0.05,-0.05,0.19,0.04,0.01,-0.01,-0.16,34.5,46.57,74.13,563.79,197.85,19.98,22.07,90.58,9.7,12.45,77.81,3.85,9.32,40.64,0.31,0.22,0.12,2.7,3.15,1.76,0.36,2.37,0.97,0.65,0.6,0.29,-0.07,0.01,0.32,0.09,0.34,17.2,6.29,35.99,5.21,5.95,6.26,1.29,0.33,0.01,1.11,1.8,2.67,0.77,0
"361","X. Nyombi","Nkasland Cronestan","MFFW",31,1990,1.52,0.03,2.76,0.62,24.93,2.7,0.68,-0.07,0.06,26.91,0.03,0.09,-0.01,0.01,0.12,0.12,-0.14,-0.07,42.72,55.97,76.19,755.33,229.96,21.33,24.8,86.48,18.04,23.93,74.93,3.43,7.26,45.43,0.01,-0.07,0.07,0,3.91,1.36,0.02,4.75,1.29,-0.02,1.27,-0.05,-0.08,0.01,1.28,0,1.3,14.61,4.73,31.83,3.28,4.73,6.62,0.68,0.62,0.1,0.06,2.66,3.99,1.25,-0.02
"369","G. Dijkstra","People's Land of Maneau","FW",19,2001,2.92,0,0,0.05,NA,-0.07,0.04,NA,NA,NA,0.07,0.05,-0.1,0.07,-0.06,NA,-0.08,0.04,23.02,29.97,76.76,376.73,40.69,11.09,13.08,84.63,8.07,9.42,85.67,2.32,4.42,53.88,0.02,-0.04,0.02,-0.09,0.61,0.76,-0.06,1.01,1.26,0.94,0.05,1,0.34,-0.07,0.69,0.01,0.58,19.97,4.35,21.77,5.7,8.96,5.34,0.35,0.03,-0.02,0.39,1.4,2.69,0.34,-0.06
"370","L. Malinga","People's Land of Maneau","FW",20,2000,1.13,0.01,-0.02,0.04,NA,-0.08,0.01,NA,NA,NA,0.1,0.07,0.05,0.01,-0.01,NA,0.02,-0.03,40.95,44.6,91.77,545.4,92.7,21.83,23.52,92.33,12.79,14.5,87.52,1.74,1.87,100.03,-0.06,-0.04,0.02,0,1.81,1.78,-0.08,2.71,0.81,-0.02,0.08,0.83,0.04,0.85,1.9,50.03,0.88,29,6.44,21.82,9,10.02,10.04,0.96,0.09,0.05,0.91,0.87,1.85,0.03,0.03
"371","N. Ono","People's Land of Maneau","FW",23,1997,0.23,-0.03,-0.05,-0.09,NA,-0.01,-0.08,NA,NA,NA,0.05,0.04,0.06,0.08,-0.1,NA,0,-0.05,10.04,15.01,66.67,124.98,0.08,10.08,10.04,100.07,0.09,5.03,0.01,0.08,0.08,NA,-0.08,0.07,0.01,-0.08,0,0.06,-0.08,-0.1,-0.06,0,0.03,-0.03,-0.02,0.02,-0.04,NA,0.03,70,10,14.33,10.01,49.95,10.01,4.91,0,0.06,5.03,0.06,-0.09,5.02,0.03
"372","T. Ichikawa","People's Land of Maneau","FW",23,1997,0.94,0,0.04,0.09,NA,-0.1,0.04,NA,NA,NA,-0.07,-0.03,0.06,-0.03,-0.07,NA,0.1,0.02,32.02,38.93,82.18,510.98,71.01,18.93,21.05,90.49,6.93,9,77.77,4.99,6.91,71.33,0.09,0.04,0.04,-0.01,2.01,0,-0.04,1.93,2.96,1.01,0.91,0.94,0.96,0.98,2.95,33.33,2.01,20.93,4.06,19.05,4.06,12.03,5.03,-0.04,0.08,-0.05,0.05,1.03,3.91,-0.07,0.06
"373","Z. binti Zakaria","People's Land of Maneau","FW",27,1993,7.24,0.54,2.1,0.96,46.61,2.08,0.91,0.31,0.66,13.82,-0.07,0.11,0.03,0.54,0.23,0.05,0.07,0.17,16.03,22.88,70.68,281.52,52.25,7.62,10.04,76.46,4.81,7.13,65.49,2.13,3,68.28,0.06,0.05,-0.04,0.78,1.7,0.47,-0.05,2.12,0.29,0.1,0.1,0.07,0.07,0.05,0.08,NA,0.09,13.53,2.73,19.42,0.73,6.67,6.06,1.11,0.23,0.05,0.93,0.51,0.77,0.78,-0.07
"374","J. Singini","People's Land of Maneau","FWMF",20,2000,1.72,0.05,1.21,0.01,0.01,1.21,-0.08,-0.01,NA,13.56,-0.07,-0.08,-0.07,0.1,0.21,0.08,-0.1,-0.09,35,41.63,83.98,629.34,71.66,14.9,14.91,100.02,13.39,16.09,82.83,5.63,7.87,71.39,0,0.12,0.03,1.66,0.58,0.06,0.08,0.65,0.01,-0.05,-0.03,0.03,0.02,0.09,0.58,-0.03,0.52,23.38,7.14,30.96,6.21,9.48,7.85,0.51,0.05,-0.02,0.56,0.09,0.01,0.06,0.09
"375","K. Namuwaya","People's Land of Maneau","FWMF",25,1995,2.06,-0.07,1.05,0.51,49.9,0.93,0.45,-0.05,0.01,17.77,-0.05,-0.03,-0.02,0.05,0.13,0.11,-0.07,0.04,32,38.51,83.01,470.97,88.55,17.99,20.06,90.06,13.43,14.95,89.95,0.4,1.96,25.08,0.91,0.44,0.47,2.56,1.93,2.48,-0.05,4.46,0.53,0.54,0.42,0.08,-0.08,0.01,0.05,NA,0.04,16.93,3.48,20.65,4,3.5,9.58,0.95,0.06,0.08,0.99,0.98,1.53,0.58,-0.1
"376","T. Aguti","People's Land of Maneau","FWMF",26,1994,7.11,0.35,2.02,1.08,57.18,1.96,1.2,0.27,0.41,14.27,-0.04,0.07,0.13,0.41,0.37,0.2,0.07,0.14,23.74,28.55,83.13,318.96,57.55,14.99,16.81,89.12,7.92,9.07,86.24,0.18,1.15,24.97,0.23,0.16,0.09,0.42,0.81,1.21,0.2,1.75,0.69,0.55,0.38,0.28,0.09,0.31,0.41,66.69,0.11,9.47,2.81,29.88,2.45,3.31,3.59,0.72,0.03,0.04,0.61,1.2,2.03,-0.03,0.1
"389","J. Anguko","Quewenia","DFFW",29,1991,3.28,0.02,1.93,1.22,66.61,1.87,1.32,0.08,-0.1,16.77,0.07,-0.05,-0.02,0.17,0.19,0.08,-0.17,-0.22,30.34,39.18,77.69,466.66,120.36,17.11,19.2,90.26,11.68,14.5,80.49,1.25,3.68,33.23,1.35,0.24,1,1.91,1.27,0.87,0.66,2.11,1.27,0.63,0.24,0.55,0.3,-0.02,1.34,-0.08,1.3,14.48,3.42,23.88,3.97,7.15,3.23,0.08,0.07,-0.07,0.08,0.68,1.9,0.6,-0.03
